"BIRMINGHAM (SPARKHILL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2477,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.82,2.45,2.33,3.13,0.89,3.57,3.79,3.00,6.06,3.28,,
February,2.63,0.26,3.60,0.33,2.48,2.95,4.14,0.75,1.30,2.63,,
March,0.15,1.63,2.90,2.17,0.69,2.24,3.07,0.34,1.72,1.76,,
April,3.58,3.43,0.86,2.18,3.15,1.87,2.74,0.12,1.89,3.67,,
May,3.61,6.95,2.26,1.05,1.78,1.46,2.33,1.53,1.26,2.88,,
June,3.26,1.39,2.27,0.96,3.18,3.79,1.06,1.98,1.66,0.54,,
July,2.83,3.25,2.43,1.00,0.48,6.24,2.55,3.23,4.64,2.46,,
August,5.04,2.13,0.76,2.13,2.14,0.61,1.31,3.42,2.81,0.12,,
September,2.79,3.19,0.66,2.34,3.74,3.36,1.73,2.35,1.10,0.87,,
October,0.79,3.61,3.87,1.54,3.31,1.63,2.74,2.78,3.43,3.54,,
November,3.56,1.98,0.92,2.18,5.66,2.66,1.76,3.52,4.33,6.87,,
December,0.95,1.02,0.45,4.61,3.72,2.54,2.24,4.29,1.75,1.78,,
Total,31.01,31.29,23.31,23.62,31.22,32.92,29.46,27.31,31.95,30.40,,
Calc annual,31.01,31.29,23.31,23.62,31.22,32.92,29.46,27.31,31.95,30.40,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
