"BULWELL (WATNELL RESERVOIR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2596,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.99,1.71,2.10,2.71,1.04,3.61,3.58,3.00,4.77,2.24,,
February,2.95,0.51,2.59,0.72,2.48,1.92,4.06,0.58,1.35,2.38,,
March,0.26,1.90,2.93,2.58,0.94,1.58,2.08,0.14,1.72,1.90,,
April,3.72,2.74,1.35,2.29,3.33,1.70,2.54,-999.00,1.61,1.74,,
May,3.14,6.51,2.05,0.99,0.30,0.34,2.75,2.34,1.23,1.22,,
June,4.22,0.99,2.02,0.60,2.87,3.56,0.78,1.39,1.67,0.98,,
July,4.37,4.32,3.12,1.56,0.82,5.38,3.21,4.04,5.69,2.13,,
August,4.71,1.62,0.79,2.11,2.02,1.01,0.47,3.26,2.51,0.21,,
September,3.56,2.08,1.28,1.94,5.39,2.85,1.49,1.99,1.45,0.45,,
October,0.81,3.18,4.14,1.46,4.03,1.65,2.78,2.70,2.73,3.02,,
November,3.21,2.28,2.04,2.27,4.49,2.86,1.72,2.74,3.71,3.90,,
December,1.29,1.00,0.48,5.18,3.45,1.72,2.69,4.07,1.83,1.10,,
Total,34.23,28.84,24.89,24.41,31.16,28.18,28.15,26.35,30.27,21.27,,
Calc annual,34.23,28.84,24.89,24.41,31.16,28.18,28.15,26.25,30.27,21.27,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,,
