"PARKSTONE (ROSEMEAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1583/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,2.75,2.74,2.86,1.05,5.81,6.18,3.89,,,,
February,,0.09,4.42,0.05,3.49,3.25,6.39,0.78,,,,
March,,1.88,3.60,3.07,1.07,3.60,3.74,0.28,,,,
April,,2.91,1.46,1.66,3.85,1.74,2.42,0.00,,,,
May,,3.33,1.61,1.06,0.91,0.94,3.31,1.61,,,,
June,,2.41,1.56,1.15,3.80,2.69,0.41,0.82,,,,
July,,3.45,1.68,0.18,0.47,3.83,2.55,2.16,,,,
August,,0.81,1.15,3.81,3.18,0.16,2.18,1.93,,,,
September,,3.48,2.61,2.05,3.93,3.20,2.56,1.55,,,,
October,,6.13,1.67,1.56,6.07,1.54,6.58,3.75,,,,
November,4.95,2.24,1.17,2.41,8.45,3.77,1.64,5.40,,,,
December,1.05,1.38,1.20,9.70,5.39,4.09,4.65,4.24,,,,
Total,,30.86,24.87,29.56,41.66,34.62,42.61,26.41,,,,
Calc annual,6.00,30.86,24.87,29.56,41.66,34.62,42.61,26.41,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,,
