"PARKSTONE (BALMORAL ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1582/8,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,2.99,1.02,5.71,6.18,3.92,6.32,3.63,,
February,,,,0.31,3.52,3.19,7.02,0.90,1.84,4.34,,
March,,,,3.19,1.00,3.52,3.96,0.32,1.40,3.30,,
April,,,,1.85,3.81,1.67,2.47,0.00,2.27,1.26,,
May,,,,1.09,0.97,0.72,2.03,1.71,1.18,1.33,,
June,,,,1.29,4.04,2.33,0.62,1.09,2.26,0.25,,
July,,,,0.46,0.41,4.26,2.23,2.50,4.45,4.13,,
August,,,,3.61,3.09,0.17,2.42,2.13,3.04,0.06,,
September,,,,2.34,4.11,3.26,2.60,1.62,3.15,1.86,,
October,,,,1.57,6.31,1.64,6.45,3.90,6.14,4.99,,
November,,,,2.47,8.02,3.69,1.82,5.54,6.52,8.78,,
December,,,,9.47,4.73,4.34,4.59,3.94,2.05,2.85,,
Total,,,,30.64,41.03,34.30,42.39,27.57,40.72,36.78,,
Calc annual,0.00,0.00,0.00,30.64,41.03,34.50,42.39,27.57,40.62,36.78,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.20,0.00,0.00,0.10,0.00,,
