"NEWTON STEWART (LITTLE BARRAER)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5011,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,5.70,4.49,3.91,5.35,2.14,4.95,5.56,5.53,5.91,3.82,,
February,4.16,0.08,4.22,0.44,4.68,1.96,6.28,3.17,5.34,2.15,,
March,1.07,2.76,3.57,2.64,1.56,2.75,1.77,1.47,3.84,5.25,,
April,2.13,4.87,1.72,2.70,3.22,0.77,3.02,0.67,2.03,2.03,,
May,2.70,3.44,1.91,4.09,0.68,3.33,2.69,3.86,1.17,1.58,,
June,4.73,1.49,3.06,1.30,3.43,3.45,3.05,5.32,2.73,0.78,,
July,3.85,4.26,4.37,3.36,2.14,5.90,5.56,6.05,5.96,4.62,,
August,2.38,2.29,3.14,5.21,1.85,3.62,2.09,3.05,1.41,1.38,,
September,2.73,5.17,0.83,5.84,6.10,5.70,2.88,5.32,3.52,4.02,,
October,3.47,6.22,3.14,6.20,8.32,4.60,3.37,9.04,3.83,5.35,,
November,10.26,4.38,2.52,1.26,6.63,4.73,1.55,7.47,8.49,7.73,,
December,4.87,7.06,2.37,10.00,4.54,5.46,4.08,6.05,3.37,5.59,,
Total,48.05,46.51,34.76,48.39,45.29,47.22,41.90,57.00,47.60,44.30,,
Calc annual,48.05,46.51,34.76,48.39,45.29,47.22,41.90,57.00,47.60,44.30,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
