"PENDLE HILL (BUTTOCK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2986/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,8.19,7.78,4.32,4.77,3.27,3.86,4.71,7.84,6.36,1.64,,
February,8.00,0.24,4.98,0.57,8.99,2.29,8.28,2.93,5.85,2.86,,
March,0.78,3.98,3.37,2.79,1.99,2.81,1.85,3.18,2.77,3.55,,
April,3.58,5.02,2.39,3.75,3.58,1.45,4.45,1.51,2.76,3.74,,
May,3.05,5.67,2.82,4.28,1.17,1.34,2.73,4.14,1.65,1.60,,
June,8.83,1.81,2.42,3.67,4.07,4.83,4.16,6.55,5.67,0.95,,
July,6.39,7.16,4.08,3.58,3.17,7.57,3.33,6.79,8.01,5.47,,
August,5.93,2.10,2.95,6.04,1.76,4.22,3.59,6.55,2.52,4.88,,
September,3.84,10.59,1.92,4.57,9.44,6.04,3.50,2.69,1.91,6.68,,
October,3.79,9.96,4.81,7.70,11.35,7.68,2.01,14.05,1.68,5.32,,
November,8.08,4.61,2.12,3.26,5.65,6.23,2.34,7.26,9.32,8.56,,
December,5.28,2.36,0.80,6.29,3.58,6.81,2.46,6.04,4.13,7.76,,
Total,65.74,61.28,36.98,51.27,58.02,55.13,43.41,69.53,52.63,53.01,,
Calc annual,65.74,61.28,36.98,51.27,58.02,55.13,43.41,69.53,52.63,53.01,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
