"BROUGHTON POGGS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1033,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.37,2.21,1.78,2.02,0.52,3.14,3.44,3.09,5.22,2.93,,
February,1.98,0.11,3.13,0.25,2.00,1.78,4.34,0.87,1.08,1.99,,
March,0.19,2.01,2.92,1.83,0.58,2.11,2.64,0.28,1.59,2.24,,
April,3.16,2.77,1.36,2.63,3.64,1.18,3.17,0.06,3.40,2.11,,
May,4.46,6.05,1.12,0.80,1.86,0.49,2.50,2.12,1.29,1.73,,
June,3.66,0.99,1.66,1.30,3.76,2.48,1.30,1.39,2.25,0.73,,
July,3.47,2.90,1.35,2.32,0.93,5.68,1.74,1.97,4.51,3.26,,
August,4.16,1.58,1.15,1.79,2.16,0.45,0.36,3.44,1.75,0.16,,
September,1.61,3.12,2.22,1.81,5.78,3.45,2.03,2.71,1.98,1.49,,
October,0.73,4.44,2.12,1.51,4.98,1.55,3.48,3.71,4.01,2.85,,
November,3.49,1.75,0.72,1.88,4.99,2.81,1.54,2.75,4.82,7.42,,
December,1.38,0.65,0.49,5.20,3.15,2.68,1.79,2.75,2.06,1.18,,
Total,29.66,28.58,20.02,23.34,34.35,27.80,28.33,25.14,33.96,28.09,,
Calc annual,29.66,28.58,20.02,23.34,34.35,27.80,28.33,25.14,33.96,28.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
