"FAIRFORD (MARSTON HILL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1540,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.74,2.88,1.80,2.18,0.65,3.28,3.88,3.52,5.17,2.76,,
February,1.25,0.05,3.29,0.24,2.26,2.13,4.52,0.89,1.27,2.31,,
March,0.21,2.16,2.81,1.89,0.55,2.12,2.82,0.21,1.83,2.47,,
April,3.22,2.40,1.13,2.11,3.96,1.55,3.19,0.06,3.87,2.06,,
May,4.87,4.78,1.23,0.75,1.61,0.88,2.19,2.39,1.00,1.15,,
June,3.16,0.78,1.89,1.89,3.65,2.68,1.36,1.36,2.00,0.61,,
July,3.55,2.55,1.79,1.12,0.74,4.87,2.44,1.84,4.55,3.18,,
August,4.01,1.58,1.28,1.52,2.09,0.20,0.66,4.50,2.02,0.06,,
September,1.65,2.82,2.45,2.73,5.33,3.91,1.66,3.72,1.22,1.11,,
October,0.67,5.20,2.49,1.79,4.88,1.77,3.60,3.79,4.32,2.97,,
November,3.32,2.14,0.82,1.47,5.82,2.83,1.60,2.94,5.32,7.20,,
December,1.36,0.72,0.57,6.13,3.26,2.91,2.29,2.68,2.06,1.27,,
Total,29.01,28.06,21.55,23.82,34.80,29.13,30.21,27.90,34.63,27.15,,
Calc annual,29.01,28.06,21.55,23.82,34.80,29.13,30.21,27.90,34.63,27.15,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
