"PURFLEET",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1246/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,1.04,,,,,,,,,,
February,,0.15,,,,,,,,,,
March,,0.99,,,,,,,,,,
April,,1.26,,,,,,,,,,
May,,3.12,,,,,,,,,,
June,,0.76,,,,,,,,,,
July,,1.39,,,,,,,,,,
August,3.42,1.34,,,,,,,,,,
September,1.41,1.42,,,,,,,,,,
October,0.57,3.76,,,,,,,,,,
November,2.20,0.65,,,,,,,,,,
December,0.57,0.31,,,,,,,,,,
Total,,16.19,,,,,,,,,,
Calc annual,8.17,16.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
