"KINGSTON ST. MARY (HILL FM.)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2076/9,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,3.23,6.19,2.26,,
February,,,,,,,,1.23,1.30,2.63,,
March,,,,,,,,0.28,1.53,2.58,,
April,,,,,,,,0.15,2.44,2.90,,
May,,,,,,,,1.85,1.88,2.32,,
June,,,,,,,,1.30,2.80,0.74,,
July,,,,,,,,3.14,4.74,3.35,,
August,,,,,,,,3.05,2.02,0.15,,
September,,,,,,,,2.06,0.85,1.60,,
October,,,,,,,,3.03,4.15,4.24,,
November,,,,,,,,3.61,6.05,7.96,,
December,,,,,,,,4.05,2.23,2.97,,
Total,,,,,,,,26.98,36.18,33.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.98,36.18,33.70,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
