"FELIXSTOWE (CEMETERY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1352/2,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,3.52,2.62,4.69,1.37,,
February,,,,,,,3.05,0.60,0.85,1.05,,
March,,,,,,,1.93,0.48,1.73,2.72,,
April,,,,,,,2.41,0.39,2.45,1.14,,
May,,,,,,,3.19,1.59,1.10,0.18,,
June,,,,,,,1.91,0.43,1.70,,,
July,,,,,,2.53,1.43,1.23,1.61,,,
August,,,,,,1.11,1.28,1.08,1.73,,,
September,,,,,,2.57,1.85,2.49,0.72,,,
October,,,,,,2.14,2.18,2.90,8.53,,,
November,,,,,,2.91,1.28,2.21,3.96,,,
December,,,,,,1.10,4.20,2.09,1.14,,,
Total,,,,,,,28.23,18.11,30.21,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,12.36,28.23,18.11,30.21,6.46,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,,
