"EXETER (HEAVITREE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1770/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,2.93,,
May,,,,,,,,,,1.33,,
June,,,,,,,,,,1.27,,
July,,,,,,,,,,2.80,,
August,,,,,,,,,,0.17,,
September,,,,,,,,,,1.39,,
October,,,,,,,,,,4.17,,
November,,,,,,,,,,6.21,,
December,,,,,,,,,,3.28,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
