"MOSELEY (COTTON LANE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2473/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,2.38,2.24,3.23,0.87,3.68,3.87,3.06,5.81,3.35,,
February,,0.29,3.61,0.35,2.75,3.08,4.38,0.87,1.42,2.62,,
March,,1.66,2.99,2.13,0.61,2.40,3.45,0.39,1.69,1.88,,
April,,3.45,0.91,2.01,3.42,1.99,3.11,0.13,1.97,4.22,,
May,,6.58,2.20,1.14,1.47,1.22,2.34,1.67,1.28,2.40,,
June,,1.35,2.56,1.35,2.74,3.98,0.80,1.98,1.68,0.66,,
July,,3.04,2.52,1.09,0.53,6.94,2.79,3.51,4.24,2.99,,
August,5.10,2.28,0.73,2.21,1.97,0.99,1.41,3.55,2.38,0.14,,
September,2.74,3.33,0.69,2.25,3.86,3.33,1.86,2.17,0.92,1.06,,
October,0.84,3.72,3.96,1.54,3.45,1.79,2.79,2.79,3.34,4.39,,
November,3.86,1.94,0.95,2.28,5.91,2.75,1.72,3.46,4.47,6.84,,
December,1.01,1.05,0.52,4.80,3.96,2.74,2.43,4.41,1.86,1.90,,
Total,,31.07,23.88,24.38,31.54,34.89,30.95,27.99,31.06,32.45,,
Calc annual,13.55,31.07,23.88,24.38,31.54,34.89,30.95,27.99,31.06,32.45,,
Difference,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
