"APPLETON RESERVOIR (NEW G) (+A)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2734/6,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,2.24,1.71,4.18,2.80,3.27,4.85,2.39,,
February,,,,0.27,2.78,1.88,5.12,0.95,2.73,2.68,,
March,,,,1.85,1.05,1.81,1.47,0.85,1.58,2.74,,
April,,,,1.90,2.46,1.30,2.83,0.33,1.75,2.14,,
May,,,,1.83,1.19,1.02,2.10,3.56,1.23,1.20,,
June,,,,1.77,4.08,3.32,1.29,2.78,3.18,1.18,,
July,,,,2.02,0.95,3.65,1.69,3.46,7.42,3.49,,
August,,,,3.18,1.45,1.75,4.78,3.05,2.07,0.97,,
September,,,,2.33,5.26,4.27,1.08,1.56,0.68,3.38,,
October,,,3.96,3.94,4.14,2.61,2.15,5.46,2.37,3.73,,
November,,,1.15,1.96,4.62,3.12,2.05,3.98,4.72,6.92,,
December,,,0.53,4.80,3.54,3.14,1.50,3.51,2.21,2.79,,
Total,,,,28.09,33.23,32.05,28.86,32.76,34.79,33.61,,
Calc annual,0.00,0.00,5.64,28.09,33.23,32.05,28.86,32.76,34.79,33.61,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
