"SOUTHWARK PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.35,1.76,1.03,1.32,0.88,4.08,3.35,2.40,3.96,1.91,,
February,1.79,0.33,1.51,0.15,2.43,1.54,4.17,0.80,0.95,1.49,,
March,0.30,1.29,2.34,2.11,0.66,1.18,3.21,0.39,1.40,3.30,,
April,3.17,2.55,0.62,2.26,3.10,1.39,2.52,0.16,2.37,1.91,,
May,2.74,3.99,1.64,0.55,1.64,0.52,2.83,1.42,1.49,1.15,,
June,1.21,0.32,1.66,2.17,3.26,3.53,1.96,0.51,1.04,0.98,,
July,2.41,3.12,1.36,1.06,0.64,3.70,1.67,1.48,2.64,2.67,,
August,3.55,1.99,0.40,1.62,1.85,0.90,0.76,2.14,2.72,0.21,,
September,1.75,2.08,2.69,1.50,2.59,3.08,1.65,3.58,1.33,1.10,,
October,0.80,5.36,1.59,1.26,2.86,2.15,2.64,2.66,4.59,2.12,,
November,2.33,1.24,0.99,1.90,3.72,2.83,1.58,3.42,4.17,5.98,,
December,0.65,0.51,0.54,5.32,2.46,2.27,3.54,2.43,1.07,0.85,,
Total,22.05,24.54,16.37,21.22,26.09,27.17,29.88,21.39,27.73,23.67,,
Calc annual,22.05,24.54,16.37,21.22,26.09,27.17,29.88,21.39,27.73,23.67,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
