"CLANDON REGIS GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,209/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,5.40,5.78,3.00,,,,
February,,,,,,1.98,4.28,0.67,,,,
March,,,,,,1.68,4.31,0.23,,,,
April,,,,,,2.50,2.90,0.16,,,,
May,,,,,,1.71,2.73,1.65,,,,
June,,,,,,3.27,1.84,0.66,,,,
July,,,,,,3.69,0.94,2.90,,,,
August,,,,,,0.69,0.89,1.50,,,,
September,,,,,,2.38,1.92,2.01,,,,
October,,,,,,2.17,3.53,3.08,,,,
November,,,,,,3.87,1.86,4.51,,,,
December,,,,,,3.29,4.75,4.63,,,,
Total,,,,,,32.63,35.73,25.00,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,32.63,35.73,25.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,,
