"CASTLEREA",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6163/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.77,,,,2.19,,,,4.73,2.45,,
February,,,,,3.79,,,,3.90,3.23,,
March,,,,,1.88,,,,2.79,5.31,,
April,3.18,,,,2.35,,,,1.83,3.09,,
May,,,,,1.44,,,,1.13,2.75,,
June,4.34,,,,5.52,,,4.88,2.18,1.52,,
July,,,,,0.60,,,5.99,5.78,3.70,,
August,,,,,2.25,,,4.22,1.99,0.71,,
September,1.76,,,,5.21,,,2.47,1.27,2.59,,
October,2.51,,,,4.54,,,7.42,2.97,4.59,,
November,,,,,3.32,,,6.58,8.41,4.06,,
December,,,,,4.10,,,3.39,2.84,4.12,,
Total,,,,,37.19,,,,39.82,38.12,,
Calc annual,14.56,0.00,0.00,0.00,37.19,0.00,0.00,34.95,39.82,38.12,,
Difference,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,-0.00,0.00,,
