"NEATH (OIL REFINERIES)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4042/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,4.40,5.77,2.96,5.87,1.09,6.47,5.45,6.90,7.31,4.29,,
February,4.65,0.00,4.56,0.65,4.67,1.77,7.14,2.56,3.85,4.93,,
March,1.09,2.32,2.97,3.06,0.92,3.44,2.32,0.94,1.80,3.55,,
April,3.64,3.66,2.63,3.68,5.76,3.24,3.26,0.17,3.76,3.35,,
May,4.20,5.72,1.66,2.14,1.93,0.82,1.76,4.93,0.88,1.33,,
June,4.31,2.61,1.90,1.66,4.68,2.62,2.79,3.15,3.56,0.65,,
July,6.37,4.77,3.98,0.75,0.73,7.21,3.27,4.53,10.11,3.74,,
August,5.10,0.98,1.19,3.29,1.76,1.64,1.09,4.77,3.45,0.55,,
September,2.56,6.20,1.58,4.10,7.81,3.28,3.32,2.29,0.75,2.91,,
October,1.40,8.92,8.49,3.24,6.26,2.21,3.86,8.71,3.15,6.13,,
November,9.25,3.64,1.41,1.95,7.07,5.78,3.27,7.81,11.00,10.57,,
December,3.39,4.09,1.59,11.73,3.76,3.77,2.99,5.63,4.07,4.92,,
Total,50.36,48.68,34.92,42.12,46.44,42.25,40.52,52.39,53.69,46.92,,
Calc annual,50.36,48.68,34.92,42.12,46.44,42.25,40.52,52.39,53.69,46.92,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
