"JACKY BAKER'S RECREATION GROUND, WELLINGTON GARDENS, ALBION GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,300A, 300B, 300C,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,2.36,,,,,,,
February,,,,,2.01,,,,,,,
March,,,,,0.06,,,,,,,
April,,,,,2.56,,,,,,,
May,,,,,2.04,,,,,,,
June,,,-999.00,,2.44,,,,,,,
July,,,-999.00,,0.20,,,,,,,
August,,,-999.00,,3.28,,,,,,,
September,,,-999.00,,2.79,,,,,,,
October,,,-999.00,,2.33,,,,,,,
November,,,-999.00,,4.44,,,,,,,
December,,,-999.00,,2.09,,,,,,,
Total,,,,,26.60,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,26.60,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
