Rainfall at,HOY, GRAEMSAY SOUND, LOW
,
Station no,5820,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.23,5.34,3.56,5.09,3.87,3.54,4.69,3.50,5.82,1.76,3.77,
February,4.37,1.37,3.31,4.21,3.24,4.30,3.26,2.08,3.17,1.26,1.41,
March,3.78,3.53,2.56,1.30,2.64,2.35,4.78,3.24,3.17,0.79,2.27,
April,2.14,1.55,2.99,3.34,1.87,3.06,2.14,5.98,1.30,2.08,1.95,
May,4.13,1.80,2.94,4.25,2.02,2.21,1.54,1.82,1.39,1.55,3.03,
June,0.40,1.48,1.76,1.90,1.84,1.12,1.54,4.16,2.12,3.52,1.66,
July,2.21,2.17,3.06,3.27,2.22,1.54,1.28,0.91,2.07,1.19,1.75,
August,1.16,2.71,2.39,4.30,3.85,1.64,2.48,1.45,1.83,4.71,5.83,
September,2.77,4.20,2.41,4.57,5.03,4.14,5.03,2.98,3.02,6.15,4.09,
October,0.93,4.04,2.04,6.92,3.07,5.05,8.82,6.05,4.07,7.15,5.51,
November,5.63,2.99,3.44,6.14,2.99,2.47,4.57,4.98,5.07,5.40,6.11,
December,4.20,5.50,4.53,4.27,3.18,2.94,4.72,0.90,3.85,6.48,4.58,
Total,35.95,36.68,34.99,49.56,35.82,34.36,44.85,38.05,36.88,42.04,41.96,
Calc annual,35.95,36.68,34.99,49.56,35.82,34.36,44.85,38.05,36.88,42.04,41.96,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
