HOY GRAEMSAY SOUND EAST-HIGH,,,,,,,,,,,,
Grid ref,HY246065,Long,-3.311827,Lat,58.939077,,,,,,,
Station no,5820,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.65,3.68,3.82,4.32,3.84,4.49,5.35,4.40,3.94,4.23,,
February,2.30,3.70,2.99,6.40,3.67,4.41,5.10,2.80,4.84,2.15,,
March,1.45,2.08,4.69,4.34,2.31,3.25,3.23,2.63,5.48,2.05,,
April,1.35,2.37,1.52,4.00,5.67,3.21,2.59,1.94,1.79,1.58,,
May,2.05,2.12,2.22,1.15,1.81,0.99,3.01,1.72,3.16,1.96,,
June,0.40,3.01,1.82,2.23,1.72,1.23,0.65,4.13,2.58,1.82,,
July,4.00,1.80,3.00,4.38,0.89,2.28,3.13,2.16,1.31,2.22,,
August,2.15,4.27,3.24,5.57,2.97,3.65,2.94,4.62,2.26,3.58,,
September,4.70,1.64,2.99,3.45,3.81,3.94,2.05,0.89,3.24,2.47,,
October,6.27,4.99,4.23,6.44,5.39,5.63,3.49,2.69,1.97,5.96,,
November,5.00,3.93,2.12,5.04,4.08,5.33,6.35,3.60,5.06,6.51,,
December,5.81,6.81,4.04,3.10,5.03,2.56,4.25,3.73,3.39,4.96,,
Total,41.13,40.40,36.68,50.42,41.19,40.97,42.14,35.31,39.02,39.49,,
Calc annual,41.13,40.40,36.68,50.42,41.19,40.97,42.14,35.31,39.02,39.49,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
