GLOUCESTER-PARK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO832180,Long,-2.2453574,Lat,51.860328,Elevation,50,ft,,,,,,,,,,,,
Station no,RR7012,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,3.02,0.87,2.32,2.15,1.12,2.17,2.75,3.37,2.83,4.66,1.11,1.37,3.71,3.36,2.85,,,,,
February,0.49,1.97,0.22,0.58,1.27,1.62,2.11,1.68,1.43,3,1.17,1.38,2.05,0.85,1.79,,,,,
March,1.99,1.9,2.95,0.56,2.28,0.78,2.07,2.58,1.62,1.19,1.4,1.21,2.06,2.98,0.71,,,,,
April,0.9,0.54,2.11,1.13,0.55,0.79,0.75,1.56,1.43,1.07,0.63,1.9,2.88,0.96,1.62,,,,,
May,2.69,1.2,3.33,0.85,1.36,1.79,0.91,2.12,1.9,3.1,1.33,1.16,1.25,2.59,0.49,,,,,
June,4.99,2.38,3.51,3.96,0.9,1.37,2.54,0.76,0.17,1.18,1.14,2.76,4.25,2.27,1.27,,,,,
July,1.15,4.14,1.64,0.36,0.56,3.6,1.48,1.46,0.74,0.66,1.31,4.17,5.92,2.36,0.86,,,,,
August,3.74,0.7,1.51,2.79,0.76,2.16,3.12,1.6,3.24,0.9,1.12,1.48,2.26,2.16,2.68,,,,,
September,2.66,1.95,3.1,2.11,2.16,0.09,6.26,1.81,3.25,4.93,1.55,6,2.16,1.17,3.68,,,,,
October,1.83,1.46,3.85,2.98,1.79,3.31,2.13,2.46,1.41,1.95,2.7,1.56,2.96,1.8,2.44,,,,,
November,2.31,2.6,0.72,1.87,2.26,2.31,1.32,1.25,2.21,1.93,2.85,0.55,4.86,1.23,2,,,,,
December,2.22,1.59,1.6,0.72,2.1,1.82,1.68,1.11,4.04,4.47,1.61,1.95,2.43,0.61,1.74,,,,,
Total,27.99,21.3,26.86,20.06,17.11,21.81,27.12,21.76,24.27,29.04,17.92,25.49,36.79,22.34,22.13,,,,,
