"MASHAM MOOR (HIGH SOUR MIRE)",,,,,,,,,,,,
Grid ref,SE143790,Long,-1.782262,Lat,54.206548,,,,,,,
Station no,3411,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.45,2.53,0.69,3.03,2.79,4.91,4.14,3.82,3.94,5.81,,
February,3.74,0.91,3.25,2.91,2.21,2.44,3.60,6.79,0.23,4.44,,
March,4.59,2.15,0.54,2.20,2.39,1.77,2.15,2.75,2.62,3.17,,
April,2.91,1.77,3.04,0.78,0.95,2.20,0.40,0.97,4.26,2.01,,
May,8.53,1.84,2.71,5.11,3.47,0.71,1.78,5.72,1.23,1.39,,
June,1.33,1.16,4.25,2.46,2.60,2.83,1.49,3.93,1.48,1.20,,
July,1.61,1.47,3.30,2.30,1.05,5.73,3.86,3.65,1.71,4.61,,
August,5.28,3.18,3.46,6.55,1.62,7.95,6.64,3.83,0.90,3.25,,
September,2.26,5.06,2.83,3.64,1.88,4.17,4.04,3.54,0.18,4.07,,
October,2.54,4.55,2.59,7.29,2.06,2.47,4.43,3.09,4.16,8.02,,
November,9.44,2.73,2.69,7.74,2.99,0.84,2.17,0.94,6.05,6.54,,
December,5.44,2.64,2.07,4.33,5.36,4.48,3.77,5.41,8.37,5.40,,
Total,51.12,29.99,31.42,48.34,29.37,40.50,38.47,44.44,35.13,49.91,,
Calc annual,51.12,29.99,31.42,48.34,29.37,40.50,38.47,44.44,35.13,49.91,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
