ROTHESAY (ACADEMY),,,,,,,,,,
Grid ref,NS083649,Long,-5.063017,Lat,55.839122,Elevation,150,ft,,
Station no,5382/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.06
February,,,,,,,,,,4.29
March,,,,,,,,,4.05,3.08
April,,,,,,,,,4.59,4.84
May,,,,,,,,,1.28,2.83
June,,,,,,,,,3.25,3.39
July,,,,,,,,,7.56,5.88
August,,,,,,,,,1,4.14
September,,,,,,,,,1.87,3.08
October,,,,,,,,,5.99,3.72
November,,,,,,,,,6.03,7.72
December,,,,,,,,,9.29,6.87
Total,,,,,,,,,,53.9
,,,,,,,,,,
1959 -100 Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5382/1,,,,,,,,,
Midas,939,,,,,,,,,
Hyd stn,667391,,,,,,,,,
