PARKSTONE-BALMORAL-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ041914,Long,-1.943282,Lat,50.722211,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1582/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.99,1.02,5.71,6.18,3.92,6.32,3.63,4.71,4.08,8.2,2.52,2.23,4.64,3.12,6.55,0.88,0.81,3.78,2.29,0.94,1.89,3.51,5.06,2.17,4.4,2.95,3.87
February,,,,0.31,3.52,3.19,7.02,0.9,1.84,4.34,3.99,0.45,1.32,0.57,2.24,3.44,2.29,1.39,1.47,6,5.95,0.71,1.42,3.32,2.07,0.14,4.94,3.02,0.4,2.98
March,,,,3.19,1,3.52,3.96,0.32,1.4,3.3,3.99,3.28,1.07,0.34,1.06,1.44,7.61,1.25,1.59,1.57,4.28,2.59,0.59,4.78,1.43,1.15,2.74,1.9,2.96,2.48
April,,,,1.85,3.81,1.67,2.47,0,2.27,1.26,2.25,2.09,1.12,2.03,1.03,3.12,2.74,1.95,1.96,2.69,2.77,2.01,2.33,0.17,0.52,2.27,0.21,0.78,2.82,1.95
May,,,,1.09,0.97,0.72,2.03,1.71,1.18,1.33,2.28,3.84,3.11,0.5,2.42,4.31,1.87,2.29,1.81,2.08,2.24,2.25,2.4,3.26,4.41,0.61,1.6,2.37,1.28,2.28
June,,,,1.29,4.04,2.33,0.62,1.09,2.26,0.25,1.85,0.55,1.16,2.04,2.57,4.02,1.94,2.24,0.53,1.18,0.51,1.03,3.29,2.8,2.83,2.72,1.72,3.64,1.96,1.21
July,,,,0.46,0.41,4.26,2.23,2.5,4.45,4.13,2.72,1.93,2.54,2.86,1.36,1.01,0.97,1.33,0.55,4.89,1.29,0.88,3.14,3.4,0.55,3.77,2.97,2.21,2.05,3.99
August,,,,3.61,3.09,0.17,2.42,2.13,3.04,0.06,3.91,3.56,1.89,2.45,2.67,4.59,0.67,3.74,1.25,2.68,4.67,3.48,1.83,3.03,1.05,3.75,2.6,3.34,1.43,4.66
September,,,,2.34,4.11,3.26,2.6,1.62,3.15,1.86,1.08,3.08,2.2,2.52,2.41,4.9,1.63,2.92,4.38,3.46,3.98,4.73,2.99,3.99,1.56,4.53,3.07,4.74,0.21,6.96
October,,,,1.57,6.31,1.64,6.45,3.9,6.14,4.99,1.08,4.63,4.91,5.9,4.89,1.51,1.78,2.01,8.87,1.07,1.82,5.51,3.6,3.23,4.99,1.44,2.62,3.2,2.96,10.58
November,,,,2.47,8.02,3.69,1.82,5.54,6.52,8.78,2.47,1.75,2.35,7.44,1.07,6.51,2.18,1.84,4.16,6.35,10.99,4.19,2.34,6.47,3.03,1.04,2.35,2.74,3.95,6.35
December,,,,9.47,4.73,4.34,4.59,3.94,2.05,2.85,3,4.74,3.49,2.98,5.31,4.11,3.51,5.63,2,2.55,3.97,3,0.86,3.23,5.44,4.15,2.49,4.15,7.72,3.11
Total,,,,30.64,41.03,34.5,42.39,27.57,40.62,36.78,33.33,33.98,33.36,32.15,29.26,43.6,30.31,33.14,29.45,35.33,46.25,32.67,25.73,39.57,31.39,30.63,29.48,36.49,30.69,50.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Total changed to correct value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Nov 1583 gives 29.41 for 1941 Balmoral Rd seems high possibly due to splashing with the rim at 8in An inspection seems desirable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr 26 Inspection Site o/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 total changed to match monthly sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
