GRANTHAM - HIGH STREET,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK914359,Long,-0.642,Lat,52.913,Elevation,202,ft,,,,,,,,,,,,,,,
Station no,RR3116,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917
January,,0.87,2.12,0.58,2.52,2.84,0.91,1.11,1.70,1.73,0.65,2.75,1.01,1.04,0.94,1.86,1.12,3.18,3.30,1.46,2.50,0.93,2.17
February,,0.82,2.98,0.50,1.24,4.52,1.39,1.32,0.71,2.80,0.69,2.20,1.23,1.42,0.47,2.48,1.52,1.55,0.66,1.12,2.77,4.83,0.63
March,,1.93,2.20,1.63,0.47,0.72,2.02,1.10,3.18,1.59,1.58,1.50,0.99,2.49,3.25,0.69,1.60,2.71,3.48,2.42,1.52,4.81,1.22
April,,0.98,1.52,2.02,1.86,1.09,1.55,1.86,1.77,0.96,1.99,0.66,2.58,2.41,1.28,1.56,0.65,0.21,2.00,1.34,0.95,1.41,1.43
May,,0.60,1.40,2.35,3.10,1.68,1.20,2.99,2.65,1.81,0.47,1.67,3.74,1.42,1.09,2.27,1.97,3.20,2.30,2.22,1.68,2.25,1.33
June,,2.24,1.76,1.72,1.07,1.94,1.24,2.37,1.71,0.38,3.42,2.66,2.67,1.18,2.67,1.43,2.31,3.99,0.92,2.38,0.82,1.52,1.48
July,,2.00,1.30,1.34,1.85,1.23,3.08,1.23,1.50,3.64,1.74,1.60,2.09,2.06,3.54,2.89,0.10,5.19,0.45,2.46,5.13,2.04,1.60
August,,1.33,3.98,2.82,0.67,3.85,1.59,4.16,4.67,2.34,2.91,1.02,2.40,2.66,2.38,3.04,1.98,5.34,0.62,1.29,2.25,3.28,6.89
September,,3.51,2.08,0.42,2.56,0.47,0.92,0.87,2.59,1.53,3.22,1.15,0.71,1.22,4.02,1.15,1.31,1.15,2.29,0.86,0.87,1.77,1.67
October,,3.73,0.79,2.73,2.22,2.54,1.62,1.99,5.34,0.40,1.22,3.97,4.39,0.99,2.52,2.48,2.10,2.02,3.29,2.37,1.00,1.80,3.21
November,,1.09,1.29,2.25,1.26,1.92,1.45,1.65,1.90,0.97,2.25,3.23,1.78,0.86,0.41,3.30,2.54,2.01,2.01,3.32,2.33,3.36,1.03
December,,3.32,1.51,1.79,1.93,4.11,4.67,1.83,0.85,1.55,0.49,2.46,2.49,0.98,3.69,5.11,4.21,3.28,0.80,4.67,4.54,2.77,0.74
Total,21.65,22.42,22.93,20.15,20.75,26.91,21.64,22.48,28.57,19.70,20.63,24.87,26.08,18.73,26.26,28.26,21.41,33.83,22.12,25.91,26.36,30.77,23.40
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/136,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/077,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/032,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# The site is 62 High Street.,,,,,,,,,,,,,,,,,,,,,,,
