BLACK ROCK,,,,,,,,,,
Grid ref,IO 2204228572,Long,-6.1702207,Lat,53.293618,Elevation,96,ft,,
Station no,RR421,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.5,,,,,,,,,
February,3.4,,,,,,,,,
March,2.01,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
Although grid ref etc assumed to be the same as for Bewley's records for the site there is no evidence at all on this record for any location or elevation.,,,,,,,,,,
