"KINGTON, SUNSET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO302568,Long,-3.0228171,Lat,52.204987,Elevation,495,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,4.14,3.81,2.8,4.2,1.65,3.73,3.34,3.42,3.98,4.69,1.12,5.25,2.33,3.36,1.7,2.62,0.92,4.52,,,,
February,,,,,,,,,,3.81,1.19,0.24,3.88,7.12,0.41,4.16,2.36,3.51,2.56,1.04,0.69,2.39,0.17,3.05,0.17,2.95,2.29,,,,
March,,,,,,,,,,5.72,3.92,2.38,2.94,1.3,1.3,0.57,0.59,2.7,2.94,0.05,2.93,0.7,1.84,2.49,2.39,0.5,2.89,,,,
April,,,,,,,,,,1.86,5.78,0.72,2.41,2.06,3.53,2.17,2.71,1.83,1.5,0.83,3.22,3.26,4.52,1.02,2.7,4.22,1.94,,,,
May,,,,,,,,,,0.41,2,1.1,0.99,2.05,4.28,3.76,2.65,1.05,0.75,2.41,2.59,4.77,5.76,1.22,0.97,0.47,1.07,,,,
June,,,,,,,,,,1.04,3,0.31,0.85,0.59,1.89,0,1.6,3.42,3.56,3.07,1.3,5.02,0.78,1.73,1.54,2.35,6.62,,,,
July,,,,,,,,,,1.48,4.41,0.63,3.86,2.8,5.13,2.63,2.01,3.21,1.13,1.82,2.78,3.41,2.31,1.78,1.77,0.19,5.06,,,,
August,,,,,,,,,,3.26,1.25,3.15,3.14,2.85,2.58,3.02,2.73,5.43,3.45,1.2,2.45,4.95,2.76,0.32,2.58,1.8,0.26,,,,
September,,,,,,,,,,2.26,2.67,1.24,2.34,2.17,5.03,2.9,1.29,3.07,1.43,1.27,4.18,1.86,2.26,1.64,1.67,4.03,3.1,,,,
October,,,,,,,,,,1.26,4.74,1.9,0.61,4.86,4.28,3.85,3.25,2.34,5.65,4.2,3.56,0.6,5.48,5.92,1.38,3.45,1.64,,,,
November,,,,,,,,,,1.53,1.35,2.74,1.72,1.6,2.72,2.29,6.13,3.77,4.59,7.7,3.09,6.79,2.32,0.66,1.75,5.8,3.05,,,,
December,,,,,,,,,,4.92,3.35,1.92,4.45,2.19,4.75,2.83,0.7,2.74,2.83,7.16,4.86,1.09,1.77,1.01,6.74,3.84,3.08,,,,
Total,,,,,,,,,,31.69,37.47,19.13,31.39,31.24,39.63,31.52,29.44,37.05,35.08,31.87,36.9,37.17,33.33,22.54,26.28,30.52,35.52,,,,
