READING FORBURY GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU718736,Long,-0.967992,Lat,51.456835,Elevation,145,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.28,3.61,2.86,,,4.21,3.07,,,,,,,,,,,,,,2.44,0.89,0.73,2.49,1.55,0.36,1.39,2.29,1.99,0.41,1.79,0.77,2.83,2.9,1.26,0.85,3.01,2.72,0.42,3.77,0.86,1.54,0.95,2.16,1.13,3.89,3.29,0.79,3.61,1.22,1.35,2.9,3.31,2.9,2.47,2.73,1.67,3.03,1.67,2.67,1.8,3.01,1.17,3.15,1.11,1.68,2.02,1.42,0.73,4.36,4.36,2.05,4.9,2.65,2.87,2.86,4.07,1.39,1.34,1.36,1.64,4.72,1.24,0.55,2.29,1.69,1.29,1.27,2.53,3.24,1.48,2.69,2.54,2.58,,
February,,,,,,,,1.69,0.3,2.5,,,1.91,1.49,,,,,,,,,,,,,,0.71,1.04,1.74,0.75,0,1.26,2.78,1.6,0.06,0.41,2.96,1.34,2.68,4.25,1.91,1.36,1.1,2.99,0.48,2.19,1.56,0.97,0.42,2.99,1.61,1.91,0.79,2.53,3.95,4.16,1.09,1.23,2.73,0.39,0.35,2.32,3.81,0.39,3.18,1.87,3.6,1.75,0.73,0.62,1.44,0.11,3.41,0.06,1.96,1.87,4.22,0.48,1.05,2.08,2.94,1.03,1.12,1.01,1.56,2.01,1.34,1,1.17,3.84,4.49,1.17,1.66,2.32,1.21,0.19,2.96,2.74,0.22,2.02,,
March,,,,,,,,2.15,2.18,1.18,,,2.17,1.6,,,,,,,,,,,,,,1.8,3.13,1.72,1.16,1.8,0.81,0.13,1.11,1.36,3.09,3.47,0.8,0.79,0.95,1.38,2.01,3.22,1.25,3.81,1.32,1.11,2.68,3.4,1.04,1.88,3.6,2.19,4.28,1.06,5.27,1.81,1.02,4.9,1.66,1.34,1.8,3.49,0.81,0.59,0.46,2.51,2.09,0.03,0.76,0.11,1.98,2.53,2.06,0.41,2.29,3.31,0.16,1.06,2.52,3.4,1.96,0.5,0.19,0.65,1,4.74,0.72,1.21,0.89,3.64,2.24,0.47,2.2,0.9,0.42,1.49,1.43,2.11,1.33,,
April,,,,,,,,2.02,1.79,1.39,,,2.22,0.56,,,,,,,,,,,,,,0.96,1.91,1.98,1.74,0.72,0.76,0.07,1.5,1.21,0.59,1.48,1.49,2.64,0.91,2.28,1,1.99,1.19,1.78,0.63,2.71,3.78,2.24,1.89,1.39,0.06,2.67,0.83,0.93,0.78,1.77,3.62,2.58,3.13,0.81,2.82,2.81,2.78,1.89,3.06,1.4,1.36,0.91,1.6,2.95,2.31,1.07,1.23,3.09,1.56,1.98,0.06,3.12,2.15,1.48,1.33,0.75,1.14,1.12,1.83,1.89,1.08,1.27,2.1,2.9,1.23,2.24,0.23,0.3,1.59,0.32,1.11,2.22,0.44,,
May,,,,,,,,1.86,0.68,2.62,,,2.73,1.14,,,,,,,,,,,,,,1.16,1.07,2.59,1.83,2.6,0.91,1.11,1.47,0.33,0.26,0.94,2.16,1.3,1.34,0.45,2.22,3.67,3.14,1.59,2.38,1.63,1.54,1.49,1.8,2.37,1.4,2.86,1.81,3,2.2,1.25,1.28,0.31,1.23,1.9,0.85,1.64,3.4,2.99,1.39,1.09,1.41,1.29,1.49,3.05,4.06,2.42,0.45,1.33,0.5,2.94,1.72,1.36,1.24,1.58,3.03,1.87,0.3,1.62,2.43,1.88,3.73,1.9,1.55,2.54,3.39,1.9,3.43,4.4,0.19,1.3,1.71,0.2,1.78,,
June,,,,,,,,1.65,0.49,1.33,,,2.1,1.81,,,,,,,,,,,,,,1.22,1.97,1.1,2.62,1.22,1.3,0.63,2.13,0.37,2.89,2.03,1.3,1.97,2.35,1.43,2.55,5.35,1.39,3.7,2.27,2.43,0.92,4.74,5.13,1.5,3.66,0.49,1.31,0.87,1.72,2.42,0.75,0.93,2.4,0.31,1.43,0.48,2.32,0.03,3.24,2.98,1.86,0.92,0.27,0.85,0.89,1.58,0.96,4.17,3.78,1.91,0.65,1.27,0.75,2,0.43,0.81,1.39,2.7,2.3,1.33,1.98,0.38,1.37,1.43,1.55,1.52,3.95,2.23,2.19,2.3,4.29,1.62,1.08,,
July,,,,,,,,3.78,1.05,0.55,,,4.52,2,,,,,,,,,,,,,,1.09,5.49,1.25,4.15,2.12,2.84,2.82,2.89,3.15,0.59,0.41,0.57,0.27,0.85,2.31,0.8,3.45,1.31,0.57,0.41,1.98,1.51,2.74,2.34,0.43,1.5,0.9,2.33,5.06,0.96,5.81,5.34,1.84,5.28,0.14,3.77,1.23,3.93,3.09,2.25,4.57,1.91,1.47,2.09,3.37,3.12,1.19,1.51,0.39,3.54,1,1.91,3.39,2.22,4.36,1.57,1.38,1.26,2.67,2.15,1.72,0.7,1.35,4.89,0.82,0.42,3.62,2.56,0.22,2.23,4.05,2.34,2.03,2.94,,
August,,,,,,,,1.81,3.66,1.36,,,2.58,1.86,,,,,,,,,,,,,,1.28,1.31,1.78,2.32,4.35,3.12,1.82,2.77,2.42,2.5,2.59,1.13,1.25,2.43,2.02,3.54,3.4,1.79,2.51,0.67,1.46,2.9,2,2.19,0.95,5.02,0.98,1.84,2.76,4.66,4.42,1.41,2.59,1.36,1.41,3.46,1.96,2.34,4.13,0.93,2.61,2.05,0.66,2.09,5.24,2.36,0.43,2.52,2.36,0.42,0.72,2.72,2.13,0.02,3.98,1.57,1.3,1.28,1.66,3.61,0.23,3.26,1.49,3.19,4.16,2.48,1.62,3.01,0.54,4.76,2.41,3.47,1.22,4.14,,
September,,,,,,,,3.42,3.29,2.78,,,1.25,2.49,,,,,,,,,,,,,,2.15,1.28,1.35,0.94,1.27,2.91,0.81,2.12,1.22,6.62,1.82,1.07,1.81,0.45,1.59,1.34,2.18,1.5,1.2,0.86,0.9,1.84,3.04,0.29,1.37,2.42,1.62,0.81,2.88,1.69,1.79,5.1,2.8,1.32,2.46,1.53,2.17,3.06,2.7,0.74,4.78,1.2,0.38,2.72,1.65,2.42,2.8,1.44,3.86,2.94,2.04,0.91,0.78,1.36,0.12,0.89,1.58,2.42,2.12,3.48,0.94,2.35,1.6,3.14,2.79,2.76,2,1.43,1.86,2.65,2.7,3.88,0.02,3.49,,
October,,,,,,,,3.22,2.57,1.87,,,3.62,1.94,,,,,,,,,,,,,,1.61,1.14,3.21,1,7.48,3.38,2.62,4.18,2.76,2.32,1.09,3.7,1.63,2.44,1.74,1.68,7.47,1.56,1.51,4.47,4.58,1.58,4.32,3.57,2.43,2.42,4.94,2.12,3.03,4.39,4.03,1.6,1.03,2.26,1.2,0.66,4.56,3.18,3.37,2.37,1.58,3.77,2.67,1.06,0.4,3.72,1.51,1.49,3.46,1.79,2.75,2.57,4.78,3.57,1.38,3.59,3.87,3.44,3.21,1.35,0.45,2.19,6.11,0.54,0.71,4.24,3.04,1.89,2.74,1.55,2.13,2.36,2.5,6.81,,
