HORBLING HALL,,,,,,,,
Grid ref,TF118351,Long,-0.339,Lat,52.902,Elevation,35,ft
Station no,RR6517,,,,,,,
,,,,,,,,
,1899,1900,1901,1902,1903,1904,,
January,,3.21,1.35,0.85,1.71,1.75,,
February,,4.08,1.29,1.57,0.56,2.86,,
March,0.34,0.46,1.80,1.11,2.97,1.58,,
April,1.90,0.81,1.35,1.66,1.80,1.04,,
May,3.05,1.58,1.29,2.40,2.41,2.50,,
June,1.39,1.79,1.05,1.83,1.17,0.39,,
July,0.91,0.93,3.40,1.62,1.90,3.76,,
August,0.54,4.03,1.60,3.90,4.34,3.21,,
September,2.26,0.24,0.81,1.50,3.29,1.75,,
October,1.93,2.12,1.63,2.22,5.46,0.58,,
November,0.93,1.74,1.17,1.58,1.71,0.86,,
December,1.52,3.90,5.07,1.81,1.00,1.60,,
Total,,24.89,21.81,22.05,28.32,21.88,,
,,,,,,,,
TYRain_1890-1899_13_pt1/138,,,,,,,,
TYRain_1900-1909_17_pt1/078,,,,,,,,
