"DUCHRAY VALLEY (HEAD OF MAIN STREAM)",,,,,,,,,,,,
Grid ref,NN390062,Long,-4.598149,Lat,56.221033,,,,,,,
Station no,5368,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.40,7.00,8.00,9.67,7.15,7.50,14.10,12.30,4.00,7.50,,
February,6.50,3.60,6.50,6.50,5.00,3.20,8.00,4.00,4.50,10.30,,
March,2.40,8.50,2.20,6.30,2.25,4.80,9.70,2.50,7.80,3.00,,
April,7.20,5.40,4.95,5.10,6.50,2.20,3.50,4.10,6.70,10.50,,
May,2.10,3.60,6.30,6.80,5.10,4.80,4.30,5.60,2.00,5.20,,
June,5.70,7.20,2.00,6.10,4.80,5.60,3.20,5.90,4.40,4.70,,
July,6.10,5.60,9.20,4.00,1.20,7.15,7.30,7.00,8.40,7.80,,
August,10.90,9.50,6.80,8.30,1.70,9.20,7.90,9.30,4.40,6.10,,
September,7.70,7.00,11.20,11.50,7.20,10.15,6.80,7.70,2.75,,,
October,2.70,11.50,8.50,15.20,7.15,5.80,9.50,9.30,8.30,,,
November,15.00,5.20,16.70,18.20,4.72,5.20,3.30,3.30,10.00,,,
December,13.60,6.00,10.70,17.10,16.28,13.50,11.50,11.90,17.00,,,
Total,91.30,80.10,93.05,114.77,69.05,79.10,89.10,82.90,80.25,,,
Calc annual,91.30,80.10,93.05,114.77,69.05,79.10,89.10,82.90,80.25,55.10,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
