"PENGE = ANESLEY TOWN HALL",,,,,,,,,,,,
Grid ref,TQ345698,Long,-0.067433,Lat,51.411278,,,,,,,
Station no,401,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.77,2.50,0.99,3.39,0.93,1.38,0.98,,
February,,,,1.06,2.30,0.84,1.86,1.39,1.28,0.37,,
March,,,,1.48,1.25,3.07,0.98,0.79,2.41,3.28,,
April,,,,1.72,0.92,1.68,0.52,2.98,2.19,1.84,,
May,,,,2.33,1.46,1.22,1.55,1.54,1.55,1.07,,
June,,,,5.00,0.95,4.88,2.37,2.14,2.71,3.33,,
July,,,,2.71,1.03,0.58,1.01,0.52,3.25,3.29,,
August,,,,2.50,0.84,2.42,1.26,2.09,3.55,1.78,,
September,,,,1.18,1.32,1.91,2.03,0.80,1.64,2.84,,
October,,,,3.35,1.65,1.20,3.00,3.10,2.17,3.96,,
November,,,,1.72,1.30,3.12,3.81,2.01,0.60,0.72,,
December,,,,1.31,2.17,0.51,1.68,2.28,1.93,2.37,,
Total,,,,26.13,17.69,22.42,23.46,20.57,24.66,25.83,,
Calc annual,0.00,0.00,0.00,26.13,17.69,22.42,23.46,20.57,24.66,25.83,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
