PENGE-RECREATION-GROUND (TOWN HALL ROOF),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ345698,Long,-0.067433,Lat,51.411278,Elevation,191,ft,,,,,,,,,,,,
Station no,401,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,1.77,2.5,0.99,3.39,0.93,1.38,0.98,1.96,1.09,2.95,2.75,0.58,,,,,
February,,,,1.06,2.3,0.84,1.86,1.39,1.28,0.37,3.05,1.07,1.72,0.68,2.68,,,,,
March,,,,1.48,1.25,3.07,0.98,0.79,2.41,3.28,1.28,1.86,2.88,2.66,3.75,,,,,
April,,,,1.72,0.92,1.68,0.52,2.98,2.19,1.84,1.9,1.84,0.04,2.44,0.85,,,,,
May,,,,2.33,1.46,1.22,1.55,1.54,1.55,1.07,2.2,1.26,1.29,1.2,1.05,,,,,
June,,,,5,0.95,4.88,2.37,2.14,2.71,3.33,2.52,2.01,3.07,0.27,3.47,,,,,
July,,,,2.71,1.03,0.58,1.01,0.52,3.25,3.29,2.32,0.46,1.3,1.09,1.99,,,,,
August,,,,2.5,0.84,2.42,1.26,2.09,3.55,1.78,2.56,2.5,4.67,2.23,1.04,,,,,
September,,,,1.18,1.32,1.91,2.03,0.8,1.64,2.84,0.99,1.13,2.68,1.4,0.7,,,,,
October,,,,3.35,1.65,1.2,3,3.1,2.17,3.96,2.55,3,2.1,3.77,1.03,,,,,
November,,,,1.72,1.3,3.12,3.81,2.01,0.6,0.72,3.09,3.39,1.94,2.24,3.27,,,,,
December,,,,1.31,2.17,0.51,1.68,2.28,1.93,2.37,3.06,4.7,2.52,0.87,6.39,,,,,
Total,,,,26.13,17.69,22.42,23.46,20.57,24.66,25.83,27.48,24.31,27.16,21.6,26.8,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Town Hall roof = 40ft,,,,,,,,,,,,,,,,,,,,
1915 Gauge moved to Rec Ground,,,,,,,,,,,,,,,,,,,,
