HOOK (FRUIT FARM),,,,,,,,,,,,
Grid ref,SU728550,Long,-0.957406,Lat,51.289491,,,,,,,
Station no,755/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.60,1.38,0.58,1.46,3.17,3.61,1.80,2.48,3.07,3.07,,
February,5.17,0.62,1.35,2.46,1.45,0.52,3.41,2.56,0.29,2.25,,
March,3.56,2.08,0.44,2.31,-999.00,0.27,1.36,1.24,2.83,1.49,,
April,2.68,1.23,2.15,0.22,0.30,1.05,0.20,0.95,2.01,0.60,,
May,2.62,4.06,1.90,2.64,3.32,0.31,1.17,2.21,1.29,1.40,,
June,0.82,0.82,1.63,3.13,2.83,1.88,1.16,3.50,0.61,1.14,,
July,1.59,0.37,3.37,1.96,0.53,4.34,4.07,2.11,2.57,2.68,,
August,5.27,3.30,2.03,3.41,0.75,3.37,2.01,4.31,2.44,5.09,,
September,2.77,3.40,1.75,2.46,1.56,4.83,3.12,3.42,0.05,3.42,,
October,0.87,3.28,3.29,2.51,4.86,2.08,2.06,2.55,1.62,7.54,,
November,5.96,3.64,0.84,4.63,2.00,0.68,2.69,2.72,2.25,4.09,,
December,2.15,2.15,0.58,2.69,2.65,3.85,2.43,2.60,4.37,3.34,,
Total,36.06,26.33,19.91,29.88,24.36,26.79,25.48,30.65,23.40,36.11,,
Calc annual,36.06,26.33,19.91,29.88,23.42,26.79,25.48,30.65,23.40,36.11,,
Difference,0.00,0.00,0.00,-0.00,0.94,0.00,0.00,-0.00,0.00,0.00,,
