HOOK-FRUIT-FARM,,,,,,,,,,
Grid ref,SU728550,Long,-0.957406,Lat,51.289491,Elevation,215,ft,,
Station no,755/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.6,1.38,0.58,,,3.61,1.8,2.48,3.07,3.07
February,5.17,0.62,1.35,,,0.52,,2.56,0.29,2.25
March,3.56,2.08,0.44,,,0.27,1.36,1.24,2.83,1.49
April,2.68,1.23,2.15,0.22,,1.05,0.2,0.95,2.01,0.6
May,2.62,4.06,1.9,2.64,,0.31,1.17,2.21,1.29,1.4
June,0.82,0.82,1.63,3.13,2.83,1.88,,3.5,0.61,1.14
July,1.59,0.37,3.37,1.96,0.53,4.34,4.07,2.11,2.57,2.68
August,5.27,3.3,2.03,3.41,0.75,3.37,2.01,4.31,2.44,5.09
September,2.77,3.4,1.75,2.46,1.56,4.83,3.12,3.42,0.05,3.42
October,0.87,3.28,3.29,2.51,,2.08,,2.55,1.62,7.54
November,5.96,3.64,0.84,4.63,2,0.68,2.69,2.72,2.25,4.09
December,2.15,2.15,0.58,2.69,2.65,3.85,2.43,2.6,4.37,3.34
Total,36.06,26.33,19.91,,,26.79,,30.65,23.4,36.11
,,,,,,,,,,
1951 Jan Station started ,,,,,,,,,,
NGR taken from sheet,,,,,,,,,,
1951 Not printed Low,,,,,,,,,,
1952 Not printed Low,,,,,,,,,,
1953 Not printed Low,,,,,,,,,,
1954 Note says  After small estimates for Jan Feb Mar rest seems reasonable,,,,,,,,,,
1956 Marked as read weekly,,,,,,,,,,
1959 Nov 16 Inspection o/e SE-SW Otherwise satisfactory ,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Hook (Hants) SRC_ID 6080,,,,,,,,,,
1951-1963,,,,,,,,,,
