KESWICK DERWENT ISLAND (second gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY261223,Long,-3.145143,Lat,54.590464,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,1.64,0.28,4.2,11.64,8.9,3.8,6.93,4.13,2.84,2.88,9.71,4.06,4.89,2.76,9.54,3.51,3.61,1.05,4.93,9.98,6.18,4.47,4.77,9.44,7.01,2.86,8.1,2.32,6.16,5.79,6.44,3.83,4.64,5.78,4.29,6.36,8.03,2.5,6.54,5.44,6.96,11.21,4.48,4.4,6.19,6.58,9.25,6.96,14.21,1.32,10.28,5.72,12.26,9.28,9.92,3.75,7.52,8.27,8.88,8.72,2.46,1.44,4.3,9.94,8.16,5.14,7.7,6.83,9.79,4.13,4.65,4.05,,2.33,,4.35,3.29,8.99,6.71,3.8,5.7,,,,,,,,,,,,,,,,,,,,
February,7.22,5.24,5.9,8.72,7.09,10.64,1.43,3.79,1.26,3.44,1.33,0.5,2.6,7.8,11.3,0.93,3.61,4.74,6.28,4.63,5.91,1.39,1.25,10.53,5.15,3.9,4.01,3.28,4.44,5.05,8.68,7.73,3.24,4.55,8.26,7.93,6.48,1.37,7.93,0.83,6.18,0.3,5.68,6.72,0.65,7.49,6.66,2.54,6.39,0.92,0.52,4.52,0.05,6.37,0.26,10.35,3.53,7.25,2.65,7.72,1.91,5.88,2.31,5.17,2.21,6.88,4.53,1.23,5.34,5.85,6.71,5.95,,1.97,,1.89,0.78,5.46,5.72,1.31,7.84,,,,,,,,,,,,,,,,,,,,
March,2.14,5.06,3.93,3.51,6.05,4.32,4.89,1.88,4.1,2.97,4.09,2.45,1.81,2.64,4.45,4.88,8.42,8.1,2.32,4.29,0.57,4.09,3.5,11.47,4.08,4.99,3.93,6.06,5.09,3.77,4.8,1.94,7.13,7.53,6.77,1.89,1.78,3.16,2.21,4.61,9.64,11.48,4.33,2.1,1.09,2.14,3.1,4.96,4.48,0.82,2.28,1.03,4.13,3.88,3.18,1.35,2.92,3.35,3.26,5.64,5.91,2.84,2.92,2.01,0.73,4.3,2.91,4.89,4.95,1.6,3.56,4.79,,0.73,4.01,1.4,1.86,4.38,1.2,3.84,1.5,,,,,,,,,,,,,,,,,,,,
April,4.17,1.09,5.24,2.77,1.5,3.41,3.66,3.21,2.35,2.55,1.79,2.71,1.54,0.8,2.31,2.63,3.24,2.87,5.22,4.3,3.24,3.44,2.86,1.88,5.36,4.9,1.45,2.35,1.68,3.04,3.73,4.62,1.15,7.06,2.97,3.72,5.57,3.02,1.4,3.17,4.13,1.39,2.5,3.7,2.81,6.66,4.24,4.25,1.78,1.89,1.45,3.1,5.23,1.77,3.61,4.35,0.91,2.49,0.78,3.24,2.48,2.31,3.42,3.63,3.17,3.08,1.87,10,2.65,8.21,4.03,4.9,2.88,3.87,1.16,2.2,1.24,1.19,1.33,4.53,3.56,,,,,,,,,,,,,,,,,,,,
May,1.68,4.9,3.1,2.79,5.8,2.99,5.99,2.38,2.98,3.37,3.06,3.56,5.25,2.37,4.48,1.46,0.77,2.67,3.65,4.38,3.5,1.41,2.58,2.79,3.29,2.2,6.24,4.73,3.21,1.91,3.35,5.33,2.57,2.52,3.51,1.02,4.01,3.42,1.71,2.41,7.24,2.96,2.05,4.07,4.9,6.43,3.41,3.37,1.72,3.75,2.6,4.44,3.02,3.22,5.03,0.81,1.19,2.25,4.35,0.92,1.49,4,4.63,4.91,3.51,6.33,1.38,3.58,1.46,3.08,2.29,,,2.45,3.79,4.96,2.71,3.19,8.36,1.19,1.79,,,,,,,,,,,,,,,,,,,,
June,4.73,5.47,5.25,4.55,1.09,1.95,1.46,0.44,1.18,0.78,4.83,1.46,4.23,3.21,3.6,1.04,4.19,4.44,3.8,0.92,3.75,2.98,1.21,1.32,1.88,2.96,1.87,6.69,3.13,3.35,1.89,6.53,5.76,4.79,2.18,1.31,3.61,3.43,1.97,3.19,2.75,0.37,3.3,1.74,2.82,0.29,4.64,4.74,6.97,1.86,3.11,7.47,2.19,2.77,2.71,5.08,3.54,2.71,8.81,4.81,1.03,0.72,1.39,4.17,6.24,4.08,5.36,3.47,8.91,0.98,3.02,,3.08,1.64,5.16,3.09,2.21,1.54,4.04,4.15,1.34,,,,,,,,,,,,,,,,,,,,
July,5.8,4.74,10.09,4.6,6.57,2.32,5.47,4.1,7.08,3.15,4.98,3.98,3.18,5.64,3.54,6.03,4.45,2.81,1.53,3.11,2.47,1.22,2.71,4.48,3.54,1.84,2.97,2.12,3.52,7.16,5.45,1.13,6.23,0.98,4.45,4.35,5.3,1.39,4.17,1.68,5.85,3.92,6,4.18,7.28,1.91,5.1,8.55,5.74,5.71,4.75,7.4,8.01,4.63,1.82,2.48,6.82,3.18,6.82,7.65,6.47,1.59,4.82,3.93,2.96,5.26,5.59,3.57,3.2,1.95,3.63,,4.3,,6.03,2.57,7.67,4.13,3.21,4.86,5.97,,,,,,,,,,,,,,,,,,,,
August,1.43,7.78,4.32,4.56,1.92,3.71,2.27,2.78,3.89,6.07,5.94,12.28,8.28,6.38,6.97,7.22,3.55,9.42,6.71,2.08,6.76,5.5,2.19,7.88,5.3,4.9,5.74,5.03,7.66,3.53,9.16,4.29,6.49,3.12,3.95,2.7,3.79,9.67,5.59,4.59,2.74,7.49,4.62,12.01,4.36,4.22,5.69,7.08,8.65,6.07,9.29,4.28,1.44,3.21,6.8,3.01,1.89,3.94,3.54,3.94,2.77,9.2,7.22,9.03,6.38,2.79,8.44,0.03,6.86,3.27,8.66,,,6.16,,4.36,10.35,7.49,6.86,1.02,4.78,,,,,,,,,,,,,,,,,,,,
September,7.02,2.75,4.46,5.27,6.74,7.45,9.37,6.27,1.9,3.71,6,9.96,9.16,5.76,0.81,1.76,8.07,7,2.71,8.84,5.52,2.96,3.34,6,2.34,4.63,1.65,0.65,5.41,3.12,0.75,4.07,3.01,2.52,3.33,0.97,3.12,6.24,13.47,4.83,2.63,2.58,3.64,7.33,9.59,5.41,6.52,8.3,3.62,2.02,3.63,2.63,8.03,1.03,7.62,10.28,6.73,5.37,3.91,2.11,6.88,1.73,7.96,7.01,7.96,6.14,8.65,5.97,6.91,2.32,14.55,,5.49,8.6,9.22,4.36,4.46,7.13,6.82,1.23,4.16,,,,,,,,,,,,,,,,,,,,
October,2.34,3.32,4.13,7.52,3.66,7.11,6.4,2.82,6.61,6.19,4.05,8.83,7.69,7.28,5.74,6.52,7.95,4.59,6.01,6.22,6.38,5.56,5.53,13.11,3.26,4.49,7.91,7.92,2.29,11.95,2.2,6.27,6.8,4.36,1.59,1.06,12.89,10.2,8.77,2.08,3.38,4.04,2.31,11.92,5.47,7.4,5.13,7.67,9.62,8.12,11.23,3.85,8.91,6.08,8.97,9.65,7.39,3.23,16.41,2.34,6.73,7.26,7.69,9.08,5.72,7.75,0.63,0.96,5.69,8.94,6,,5.77,3.69,12.51,3.73,5.04,6.98,6.27,8.74,4.13,,,,,,,,,,,,,,,,,,,,
