KESWICK DERWENT ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY261223,Long,-3.145143,Lat,54.590464,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,
January,,,,,,5.2,11.35,6.27,7.5,8.19,5.93,5.71,12.36,12.15,5.74,7.39,2.47,10,4.21,1.46,1.45,0.26,3.91,10.73,7.1,3.57,4.88,4.39,2.69,2.63,9.47,3.93,3.65,2.6,8.22,3.3,3.63,1.12,4.97,10.1,6.3,4.51,4.99,9.98,7.45,2.99,8.39,2.27,6.47,6,6.6,3.98,4.05,6.56,4.42,6.52,8.04,2.46,6.84,5.56,7.03,10.71,4.62,4.59,6.46,6.83,9.77,7.25,14.71,1.52,11.92,5.97,13.49,10.28,10.92,3.68,8.16,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,3.46,5.91,5.01,5.23,8.48,5.68,4.79,6.69,0.97,5.24,1.02,4.93,4.38,3.47,3.13,6.39,4.85,5.49,8.03,7.54,11.07,1.5,3.12,1.25,2.54,1.21,0.33,2.09,6.11,8.83,0.86,3.65,4.8,6.34,5.16,6.03,1.43,1.32,11.3,5.46,4.06,4.05,3.29,4.52,5.14,10.33,8.27,3.45,4.76,8.73,8.45,6.6,1.38,7.75,0.75,5.89,0.3,5.89,8.91,0.63,8.03,7.02,2.9,6.35,1.08,0.55,4.51,0.05,6.63,0.27,10.34,3.65,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.33,5.28,3.23,7.92,0.62,2.96,4.24,4.24,3.45,3.42,1.96,4.4,3.12,2.41,4,1.89,4.68,3.65,3.23,6.53,4.13,4.91,1.29,4.07,2.36,3.22,1.87,1.8,1.9,3.55,4.75,8.47,8.64,2.23,4.47,0.58,4.13,3.58,12.45,4.34,5.33,4.04,6.22,5.59,4.01,5.13,2.01,7.43,7.92,7.04,1.94,1.73,3.08,2.31,4.61,9.55,11.77,4.44,2.44,1.09,2.23,2.85,5.32,5.76,0.88,2.57,1.13,4.12,4.25,3.36,1.39,3.01,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.64,2.63,6.29,3.95,2.2,2.07,2.47,2.29,0.41,3.24,1.38,2.66,2,2.26,2.06,3.69,1.01,4.87,2.55,1.55,4,3.15,3.06,2.46,2.55,1.43,2.91,1.39,0.71,2.33,3,3.22,2.97,5.31,4.68,3.27,3.74,3.81,1.87,5.7,5.11,1.47,2.56,1.78,3.19,3.84,4.92,1.1,7.39,3.12,3.87,5.6,3.05,1.39,3.2,4.21,1.44,2.64,4,3.02,6.98,4.43,4.19,2.05,1.92,1.64,3.2,5.38,1.84,3.88,4.62,0.98,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,7.94,1.63,3.07,3.15,2.18,4.64,1.27,2.73,1.55,1.16,2.97,0.56,4.18,4.88,1.26,1.49,4.53,2.88,2.57,4.26,2.55,5.79,1.97,3.04,3.46,3.04,3.45,4.37,2.45,4.13,1.45,0.75,2.73,3.62,4.58,3.81,1.45,2.64,2.81,3.34,2.35,6.4,4.9,3.31,2,3.42,5.45,2.55,2.74,3.65,1.04,4.08,3.5,1.73,2.43,7.4,3.06,2.28,4.18,5.1,6.82,3.53,3.56,1.77,4.09,2.74,4.65,3.26,3.3,6.05,0.85,1.18,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.8,3.24,1.98,1.49,2.67,1.85,2.36,5.21,2.13,1.17,4.31,3.6,4.06,2.67,5.55,4.19,5.06,4.88,4.19,0.99,1.58,1.1,0.39,1.23,0.77,4.4,1.5,4.31,3.13,3.39,1.09,4.28,4.56,3.88,0.95,4.01,3.1,1.25,1.38,1.99,3.11,1.91,6.84,3.28,3.38,1.87,6.87,5.72,4.98,2.2,1.35,3.68,3.48,2.03,3.25,2.77,0.37,3.37,1.85,2.94,0.3,4.83,4.84,7.36,2.04,3.23,7.94,2.59,2.83,2.75,5.36,3.78,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.28,5.43,5.69,0.61,2.46,1.26,4.22,4.5,7.53,2.57,3.35,2.21,5.01,1.01,6.73,5.13,4.38,9.38,4.24,6.61,2.45,5.42,4.14,7.01,3.09,4.87,3.84,2.73,5.36,3.14,6.23,4.53,2.91,1.59,3.23,2.47,1.26,2.78,4.57,3.62,1.88,3.07,2.12,3.56,7.26,5.73,1.22,6.14,0.95,4.62,4.5,5.34,1.42,4.24,1.69,5.89,4.09,6.34,4.25,7.52,1.92,5.19,8.85,6.01,6.06,4.83,7.71,8.34,4.84,1.89,2.44,7.22,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,5.47,7.12,3.26,6.35,2.24,3.7,4.26,4.3,6.03,8.55,3.12,5.7,6.59,5.35,5.84,1.27,7.2,4.02,4.2,1.86,3.37,2.24,2.39,3.57,5.71,5.34,11.93,8.01,6.46,6.01,7.57,3.67,9.69,7.29,2.1,6.83,5.55,2.27,8.3,5.46,5.09,5.85,5.25,8.01,3.56,9.71,4.4,6.52,3.12,3.97,2.79,3.86,9.92,5.59,4.67,2.8,7.67,4.75,12.81,4.45,4.45,5.96,7.27,9.04,6.38,9.89,4.37,1.48,3.38,7.26,3.08,2.16,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.03,9.83,4.93,3.25,11.49,6.64,3.01,8.01,2.64,8.61,6.27,4.43,4.05,6.13,5.38,6.21,2.53,4.15,4.85,5.73,7.15,8.3,5.49,1.43,2.32,5.24,8.61,7.8,4.66,0.81,1.83,8.66,7.11,2.91,9.05,5.74,3.14,3.61,6.17,2.49,4.86,1.66,0.67,5.75,3.13,0.77,4.13,3.02,2.56,3.33,1,3.19,6.37,13.69,5,2.71,2.67,3.88,7.85,10.31,5.52,6.56,8.46,3.81,1.97,3.97,2.74,8.07,1.08,8.45,10.74,7.09,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.06,3.23,5.96,6.44,3.2,11.54,4.43,9.05,5.76,12.1,4,4.62,9.27,7.2,1.78,2.07,3.07,3.84,6.93,2.48,5.42,6.36,2.79,5.89,6.1,2.94,9.68,6.82,5.52,5.13,6.54,8.29,4.83,6.07,6.55,6.62,5.83,5.8,13.68,3.35,4.61,8.16,8.42,2.42,12.92,2.23,6.7,6.95,4.63,1.64,1.16,13.6,10.31,9.31,2.13,3.51,4.13,2.43,12.82,5.61,7.82,5.35,7.95,10.83,8.67,12.09,4.1,9.42,6.26,9.68,9.46,7.4,,,,,,,,,,,,,,,,,,,,,,,,
