CALDER WATER (QUEENSIDE LOCH),,,,,,,,,,
Grid ref,NS294643,Long,-4.726128,Lat,55.841661,Elevation,1260,ft,,
Station no,5291/1/5/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,7.5,11.5,7.85,7.7,11.4,12.12,3.35,7.65
February,,,5.8,8.5,5,3.8,5.8,7.12,4.9,11.45
March,,,3.2,6.5,3,5.75,11.7,3.12,7.45,3.87
April,,,5,5.5,7.8,2.35,4.07,4,6.95,10.55
May,,2.53,4.05,5.35,7.45,6.1,3.5,5.83,2.55,4.2
June,,6.7,2.3,9.5,5,6.45,4.15,4.7,5.32,5.22
July,,7.25,8.8,6.1,1.9,9.55,9.7,7.89,9.1,8.75
August,,10.1,7.7,9.15,2,9.1,9.95,8.27,3.3,6.45
September,,6.9,11.75,13.5,8.85,8.45,6.85,7.05,2.45,5.45
October,,11,7.8,17.75,7.75,6.3,12.75,8.6,11.95,4.95
November,,3.75,14.2,15.05,5.55,5.75,4.67,4.1,10.7,12.4
December,,9,10.7,14.7,13.75,15.45,11.95,11.05,14.8,12.65
Total,,,88.8,123.1,75.9,86.75,96.49,83.85,82.82,93.59
,,,,,,,,,,
BR 1953 P ,,,,,,,,,,
BR 1954 P JFM Est,,,,,,,,,,
BR 1955 P() FM est,,,,,,,,,,
BR 1956  NP Big JF OND est,,,,,,,,,,
BR 1957 P JFM est ,,,,,,,,,,
BR 1958 P Fe Estd,,,,,,,,,,
,,,,,,,,,,
Station no,5291/1/5/5,,,,,,,,,
Midas,13644,,,,,,,,,
Hyd Stn,659155,,,,,,,,,
