BUNTINGFORD-THROCKING-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL336301,Long,-0.057309,Lat,51.95335,Elevation,487,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,0.26,1.52,1.34,1.75,2.07,1.67,2.49,1.22,0.68,0.85,2.17,1.69,0.89,1.78,1.85,2.19,0.69,1.99,0.8,2.22,2.9,0.47,0.6,2.32,2.4,1.31,3.4,0.94,1.32,0.98,1.47,1.34,4.09,2.6,1.18,3.46,1.32,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.45,2.93,1.81,3.55,0.67,2.15,0.24,0.75,1.06,1.86,0.72,0.01,2.12,2.89,1.7,0.21,0.54,2.49,0.91,1.66,4.36,1.17,0.92,0.9,3,0.94,1.69,1.54,1.14,0.47,2.46,1.24,1.49,0.85,2.36,3.14,3.77,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,0.87,1.56,1.09,0.64,1.07,0.81,1.65,1.33,3.26,1.59,2.31,1.8,0.99,0.33,1.07,1.97,3.4,3.58,1.2,0.8,0.83,1.99,1.17,2.96,1.49,2.47,1.72,0.95,2.58,3.24,0.9,2.02,3.5,2.25,3.98,1.67,4.11,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,1.74,0.81,3.16,1.79,0.97,2.53,1.33,1.12,1.64,1.91,0.54,0.86,0.9,0.14,1.08,1.24,0.93,1.65,1.41,2.68,1.18,2.38,0.69,1.49,1.01,2.12,1.08,3.46,2.73,1.54,2.22,0.97,0.17,2.67,1.18,1.04,1.48,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,0.68,1.03,1.08,1.16,0.39,2.71,4.63,2.15,1.19,3.31,1.68,2.92,1.44,0.95,2.13,1.61,0.31,1.66,3.03,2.45,1.65,1.3,2.13,2.97,1.71,0.99,1.14,2.58,1.43,1.41,3.05,1.12,1.64,1.78,1.22,2.1,1.96,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,2.23,1.66,2.36,2.2,1.29,2,0.41,0.57,1.68,2.06,2.13,1.35,2.84,0.73,1.69,0.55,2.18,1.61,2.36,1.55,2.34,0.67,2.26,5.56,0.91,2.65,3.29,2.08,2.19,3.88,2.08,2.61,3.56,0.91,1.81,1.21,2.89,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,5.23,2.06,1.93,3.44,3.41,0.38,2.37,1.06,3.89,4.5,3.88,2.42,2.94,3.86,1.94,4.59,1.17,0.91,1.12,1.42,1.07,2.74,1.61,5.04,3.48,1.18,1,2.1,3.32,3.14,2.14,0.4,2.25,2.65,1.82,3.7,1.91,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,4.83,1.09,4.85,1.85,1.64,1.91,1.27,1.34,0.85,2.34,1.73,1.87,3.56,3.25,3,2.58,3.97,3,2.73,1.1,1.34,3.27,2.47,3.39,3.14,2.49,2.65,0.91,2.05,3.21,2.08,1.98,0.49,5.76,0.95,1.39,2.64,3.98,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.1,3.09,2.11,2.02,4.04,1.51,3.51,1.18,3.56,1.19,2.13,0.59,1.11,2.81,1.32,1.47,0.74,5.92,2.62,0.28,2.52,0.57,1.18,1.35,1.91,1.25,1.61,1.36,0.62,2.09,2.02,1.04,1.29,2.48,1.32,1.11,2.3,1.18,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,0.84,4.81,2.42,5.49,2.02,1.03,4.91,3.1,1.66,0.81,3.61,1.81,5.17,3.97,3.1,2.42,2.18,3.39,0.78,3.32,2.16,1.93,1.53,1.41,5.93,1.2,1.27,3.68,3.21,1.19,4.45,2.7,2.73,2.5,4.13,2.39,1.69,3.03,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
