"INVERNESS (CULDUTHEL RES)",,,,,,,,,,,,
Grid ref,NH665412,Long,-4.225827,Lat,57.441431,,,,,,,
Station no,5707,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.47,1.96,0.95,2.19,1.48,1.61,3.27,,,,,
February,1.84,1.15,1.57,1.29,2.47,1.91,2.56,,,,,
March,1.41,2.02,1.05,1.83,0.98,0.98,3.10,,,,,
April,4.01,0.74,2.89,1.37,0.93,2.17,0.68,,,,,
May,0.65,1.50,4.05,3.28,2.31,1.63,1.74,,,,,
June,2.01,2.29,2.79,1.90,0.65,3.08,6.27,,,,,
July,3.49,1.19,3.85,2.30,0.55,7.07,-999.00,,,,,
August,4.62,4.41,2.91,2.65,0.36,6.38,,,,,,
September,0.83,2.59,2.48,2.24,2.23,4.33,,,,,,
October,1.08,2.75,0.60,5.79,3.85,3.30,,,,,,
November,3.99,2.78,2.22,2.10,0.61,1.76,,,,,,
December,3.66,2.32,2.61,4.74,5.56,4.02,,,,,,
Total,30.06,25.70,27.97,31.68,21.98,38.24,-999.00,,,,,
Calc annual,30.06,25.70,27.97,31.68,21.98,38.24,17.62,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-1016.62,NaN,NaN,NaN,,
