"RAMELTON BALLYARE, DONEGAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC195205,Long,-7.6943,Lat,55.03227,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,4.3,3.21,2.85,5.05,5.63,2.85,3.78,2.5,5.56,5.6,2.17,2.64,1.97,2.51,,,,,,,
February,,,,,,,,,,5.64,3.5,3.15,3.18,1.05,1.58,1.17,4.28,4.34,-999,1.65,1.46,3.85,3.4,,,,,,,
March,,,,,,,,,,3.7,2,2.85,3.02,3.08,2.07,2.12,6.22,3.81,-999,1.95,1.96,3.74,2.47,,,,,,,
April,,,,,,,,,,2.22,3.38,4.35,1.82,0.97,1.97,1.19,3.68,1.82,2.41,1.46,3.24,1.75,1.93,,,,,,,
May,,,,,,,,,,3.32,3.91,1.12,2.64,2.56,1.34,2.1,0.5,1.5,4.25,2.74,1.36,1.78,1.25,,,,,,,
June,,,,,,,,,,2.9,3.54,3.66,5.66,1.55,1.66,2.64,3.26,2.65,2.21,4.5,2.55,3.67,3.24,,,,,,,
July,,,,,,,,,0.67,1.46,2.39,7.83,1.89,3.57,2.51,2.91,1.45,3.62,0.7,5.89,3.9,1.86,4.83,,,,,,,
August,,,,,,,,,5.7,2.66,2.87,3.12,4.36,6.12,4.26,2.61,3.77,5.02,2.71,2.47,1.39,3.11,3.8,,,,,,,
September,,,,,,,,,4.47,4.93,4.34,2.41,9.38,3.87,5.01,3.26,4.06,2.96,3.33,5.58,3.89,2.35,3.28,,,,,,,
October,,,,,,,,,3.38,2.7,10.26,2.9,5.77,6.31,5.25,3.36,5.01,6.99,6.51,1.92,1.75,2.62,3.01,,,,,,,
November,,,,,,,,,4.45,5.15,2.28,2.2,5.28,1.87,2.4,6.36,3,7.96,5.03,1.89,6.04,5,,,,,,,,
December,,,,,,,,,6.38,4.73,2.78,3.1,4.55,2.76,3.21,2.4,6.65,5.58,4.21,2.37,4.13,3.95,3.66,,,,,,,
Total,,,,,,,,,,43.71,44.46,39.54,52.6,39.34,34.11,33.9,44.38,51.81,41.42,34.59,34.31,35.65,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882 Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
