SLAPTON-START-BAY-(HIGHER-START-HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,SX808449,Long,-3.67388,Lat,50.2922,Elevation,130,ft,,,,,,,,,,,,
Station no,RR7441,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,7.05,2.02,8.35,1.9,2.19,2.5,5.4,1.76,5.16,9.63,1.76,5.55,2.86,,,
February,,,,,6.33,0.86,5.3,2.12,2.24,0.51,6.11,3.33,4.53,1.44,5.33,7.43,7.78,,,
March,,,,,2.48,6.2,2.01,1.4,4.28,6.5,1.27,3.49,5.93,5.15,8.05,1.29,,,,
April,,,,,1.81,2.74,0.98,5.99,2.98,1.63,1.76,1.76,0.16,4.41,1.75,1.56,1.1,,,
May,,,,,3.73,1,3.96,4.35,2.27,1,2.59,0.92,2.13,3.12,1.83,4.25,,,,
June,,,,,1.51,3.53,1.64,3.19,1.36,3.07,1.18,2.17,4.63,0.86,0.96,2.71,,,,
July,,,,,5.33,0.62,1.08,2.08,2.56,3.39,3.33,0.9,2.56,0.97,3.63,4.61,,,,
August,,,,,2.84,4.63,1.71,2.04,3.13,3.01,4.54,0.86,8.4,1.23,4.14,1.94,,,,
September,,,,,3,2.88,1.29,2.49,3.91,2.21,0.17,2.23,1.27,2.13,3.99,1.86,,,,
October,,,,,3.26,2.35,5.13,9.28,1.96,9.23,7.12,6.28,5.32,3.38,3.05,5.69,,,,
November,,,,,2.43,5.73,4.66,4.38,1.4,0.95,6.43,5.2,3.13,4.81,5.61,3.26,,,,
December,,,,,4.02,1.71,2.91,6.17,7.02,7.31,7.98,11.1,7.24,3.03,9.89,10.67,,,,
Total,,,,,43.79,34.27,39.02,45.39,35.3,41.31,47.88,40,50.46,40.16,49.99,50.82,,,,
,,,,,,,,,,,,,,,,,,,,
Higher Start House Start,,,,,,,,,,,,,,,,,,,,
1912 Sept 3 Inspection Capital position Well sheltered garden,,,,,,,,,,,,,,,,,,,,
