SKENE KINMUNDY,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 83957 07690,Long,-2.266859,Lat,57.159792,Elevation,500,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,-999,0.71,1.95,0.71,,,,,,,
February,,,,,,,,,,-999,2.05,4.91,0.66,,,,,,,
March,,,,,,,,,,-999,0.99,2.04,1.96,,,,,,,
April,,,,,,,,,,4.15,2.08,0.95,4.03,,,,,,,
May,,,,,,,,,,2.76,0.74,2.15,1.18,,,,,,,
June,,,,,,,,,,3.04,2.67,2.01,3.79,,,,,,,
July,,,,,,,,,,2.86,5.54,4.25,2.97,,,,,,,
August,,,,,,,,,,3.71,0.65,3.55,1.92,,,,,,,
September,,,,,,,,,,1.52,2.85,2.41,2.02,,,,,,,
October,,,,,,,,,,1.19,2.54,3.39,2.88,,,,,,,
November,,,,,,,,,,2.17,2.29,1.46,4.14,,,,,,,
December,,,,,,,,,,0.68,2.86,1.33,6,,,,,,,
Total,,,,,,,,,,26.64,25.97,30.4,32.26,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1879 -999 for Bracketed figure,,,,,,,,,,,,,,,,,,,,
