MANSFIELD-CROW-HILL (NEW GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SK537616,Long,-1.19822,Lat,53.14962,Elevation,405,ft,,,,,,,,,,,,
Station no,2625/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.86,5.53,2.82,4.01,3.14,4.4,,,,,,,
February,,,,,,,,0.62,1.57,2.45,3.26,1.25,0.83,,,,,,,
March,,,,,,,,0.18,1.95,2.04,4.11,1.69,0.81,,,,,,,
April,,,,,,,,0.11,1.85,1.85,1.5,1.31,1.03,,,,,,,
May,,,,,,,,2.91,1.3,1.14,2.49,4.47,3.62,,,,,,,
June,,,,,,,,1.71,2.26,1.46,0.26,1.53,1.69,,,,,,,
July,,,,,,,,4.08,4.54,3.38,4.63,2.07,0.9,,,,,,,
August,,,,,,,,1.82,2.85,0.32,3.07,2.28,2.13,,,,,,,
September,,,,,,,,2.19,1.15,0.88,0.49,1.3,,,,,,,,
October,,,,,,,,3.23,3.25,5.03,2.97,2.11,,,,,,,,
November,,,,,,,,3.58,3.89,6.41,3.72,1.64,,,,,,,,
December,,,,,,,3.31,4.55,1.9,1.69,0.74,2.03,,,,,,,,
Total,,,,,,,,27.84,32.04,29.47,31.25,24.82,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
