MANSFIELD-CROW-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK537616,Long,-1.19822,Lat,53.14962,Elevation,405,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.87,3.79,4.34,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.82,2.72,3.85,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.81,1.81,2.33,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,3.19,1.86,2.65,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.37,0.67,3.39,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.8,3.55,0.62,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.41,5.97,2.54,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2,1.06,0.64,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,4.83,2.75,1.62,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.16,2.82,3.89,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,6.26,3.56,1.54,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,3.85,2.29,3.31,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,34.37,32.85,30.72,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Gauge moved from West Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
