"MANSFIELD WEST BANK",,,,,,,,,,,,
Grid ref,SK535618,Long,-1.201490,Lat,53.150659,,,,,,,
Station no,2625,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.93,3.50,0.89,1.07,1.11,,
February,,,,,,1.24,2.78,2.17,1.85,0.86,,
March,,,,,,2.69,1.67,1.57,3.06,3.71,,
April,,,,,,1.94,0.42,1.97,2.18,1.46,,
May,,,,,,0.51,1.60,3.38,2.99,1.48,,
June,,,,,,3.08,2.10,3.63,2.46,2.86,,
July,,,,,,1.54,0.45,2.45,2.78,4.26,,
August,,,,,,3.32,1.47,1.92,3.50,2.93,,
September,,,,,,1.80,1.03,0.55,1.90,2.82,,
October,,,,,,1.24,6.55,5.34,1.06,3.59,,
November,,,,,,3.55,3.31,2.27,1.56,0.50,,
December,,,,,,0.74,2.63,2.80,2.03,5.20,,
Total,,,,,,22.58,27.51,28.94,26.44,30.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,22.58,27.51,28.94,26.44,30.78,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
