HORSHAM-RUSPER-OLD-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ196360,Long,-0.29285975,Lat,51.110825,Elevation,372,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,4.49,1.01,2.32,,,,2.75,2.96,1.7,3.53,2.18,1.08,1.67,3.38,,,,,,,,,
February,,,,,,,,1.72,1.07,3.57,,,,4.32,2.27,3.58,0.8,0.67,1.27,2.8,1.09,,,,,,,,,
March,,,,,,,,2.37,1.15,0.92,0.87,,,0.88,2.02,2.35,2.01,1.7,4.13,2.2,2.08,,,,,,,,,
April,,,,,,,,3,4.08,3.6,2.49,,,1.44,1.52,1.34,1.76,1.68,1.44,2.55,,,,,,,,,,
May,,,,,,,,1.24,2.77,4.11,0.32,0.5,,1.78,0.49,4.24,4,1.45,1.21,3.07,,,,,,,,,,
June,,,,,,,,0.66,3.26,5.5,2.4,1.4,,2.41,1.65,1.78,0.93,0.62,3.65,1.41,,,,,,,,,,
July,,,,,,,,,,4.48,4.36,1.32,,2.33,2.3,0.24,2.98,0.62,4.72,1.73,,,,,,,,,,
August,,,,,,,,,,5.5,1.66,4.1,,0.67,0.69,1.25,1.87,2.22,2.08,2.97,,,,,,,,,,
September,,,,,,,,,,3.3,4.55,2.47,,4.41,3.89,5.3,2.35,3.1,0.8,1.03,,,,,,,,,,
October,,,,,,,,,,,6.96,,,2.73,1.53,4.3,3.12,1.47,1.72,6.01,,,,,,,,,,
November,,,,,,,,,,,3,,,4.42,0.91,3.29,3.65,5.48,4.1,1.34,,,,,,,,,,
December,,,,,,,,,,,,,3.05,1.09,3.72,1.65,5.78,1.82,1.59,1.73,,,,,,,,,,
Total,,,,,,,,,,,,,,29.23,23.95,31.02,32.78,23.01,27.79,28.51,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 values from note at foot of TYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
