HORSHAM-RUSPER-OLD-PARK,,,,,,,,,,
Grid ref,TQ196360,Long,-0.29285975,Lat,51.110825,Elevation,372,ft,,
Station no,RR7846,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,3.3,1.91,,
February,,,,,,,0.78,0.5,,
March,,,,,,,1.79,1.34,,
April,,,,,,,1.6,1.53,,
May,,,,,,,3.82,1.2,,
June,,,,,,,0.8,0.42,,
July,,,,,,,2.8,0.5,,
August,,,,,,,1.81,1.75,,
September,,,,,,,2.27,3,,
October,,,,,,,2.93,1.19,,
November,,,,,,,3.53,4.98,,
December,,,,,,,5.25,1.66,,
Total,,,,,,,30.68,19.98,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1890 values from note at foot of TYR,,,,,,,,,,
Note- second gauge on site which was then removed to Rusper Rectory in 1888,,,,,,,,,,
