"THEYDON BOIS THRIFTS HALL",,,,,,,,,,,,
Grid ref,TQ458987,Long,0.106896,Lat,51.668164,,,,,,,
Station no,1263/8,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.20,3.32,0.95,1.25,0.89,,
February,,,,,,0.93,1.96,1.12,1.69,0.76,,
March,,,,,,2.60,1.23,0.96,2.50,2.68,,
April,,,,,,1.99,0.60,3.20,2.54,2.03,,
May,,,,,,1.02,1.97,1.79,1.55,1.48,,
June,,,,,,2.78,2.21,1.72,1.65,3.38,,
July,,,,,,2.41,2.01,2.00,4.41,3.50,,
August,,,,,,2.75,1.15,1.84,2.80,1.87,,
September,,,,,,2.06,1.87,0.75,1.59,1.99,,
October,,,,,,1.10,3.18,2.93,1.88,4.16,,
November,,,,,,2.27,3.70,2.31,0.80,0.88,,
December,,,,,,0.77,2.31,3.32,1.87,2.74,,
Total,,,,,,21.88,25.51,22.89,24.53,26.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.88,25.51,22.89,24.53,26.36,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
