OCLE PYCHARD OCLE COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO596463,Long,-2.591381,Lat,52.113537,Elevation,298,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,0.98,3.78,1.79,0.83,0.97,2.19,0.7,3.96,3.9,0.74,3.2,1.18,1.45,2.38,2.54,3.44,2.97,3.81,1.31,3.82,2.29,3.73,3.43,3.97,1.29,5.96,1.19,2.79,1.87,2.71,0.93,3.61,3.24,2.54,6.06,4.01,3.91,2.48,5.65,1.83,1.34,2.4,2.35,3.52,0.84,,,
February,,,,,,0.78,1.71,1.02,1.02,0.68,3.82,1.48,1.96,1.33,2.33,3.76,4.45,1.13,1.24,2.8,0.84,0.18,3.06,6.22,0.37,3.51,1.79,2.49,1.82,0.79,0.88,2.04,0.27,3.42,0.44,1.77,2.28,3.74,0.45,0.97,2.27,2.52,0.43,1.17,0.74,1.56,1.74,1.51,1.18,0.84,,,
March,,,,,,3.24,1.31,0.62,2.82,2.56,0.66,1.96,4.36,5.06,2.55,0.65,4.42,2.56,1.54,4.21,3.27,1.3,2.24,1.41,1.41,0.57,0.57,2.86,2.77,0.12,2.43,0.44,1.89,2.58,1.89,0.75,2.34,2.67,0.23,1.27,1.28,2.47,2.31,1.11,0.4,0.63,0.77,8.61,1.05,0.78,,,
April,,,,,,2.27,0.92,2.1,3.65,2.47,2.11,1.33,0.16,4,1.71,1.07,0.74,1.52,2.27,1.57,4.33,0.9,2.41,2.61,2.66,1.89,1.87,1.51,1.41,0.77,3.55,3.21,3.17,1.15,2.18,4.13,2.32,1.64,0.08,2.24,2.4,1.06,1.01,0.9,1.58,0.9,1.52,2.01,2,2.43,,,
May,,,,,,0.83,2.84,3.06,2.15,0.87,1.89,2.45,2.32,2.58,1.6,2.38,3.24,3.78,1.54,0.52,2.26,1.26,1.11,1.8,5.97,3.42,3.31,1.35,1.15,2.34,2.93,4.59,6.08,2.01,1.25,0.68,0.63,2.15,2.2,0.61,1.76,1.95,3.08,2.4,0.5,2.95,3.76,2.53,2.19,2.06,,,
June,,,,,,2.24,2.92,2.46,1.91,2.33,3.57,1.6,4.16,0.72,2.43,0.87,1.24,2.13,0.61,1.52,3.03,0.56,0.89,0.41,2.45,0,1.47,4.35,3.12,1.97,0.54,3.96,1.09,1.46,0.64,3.55,4.24,0.67,1.26,1.9,0.68,1.58,0.27,2.01,1.38,2.65,2.71,1.13,1.32,0.4,,,
July,,,,,,1.57,0.71,2.73,1.92,3.1,1.97,0.16,3.6,0.85,3.46,5.82,1.85,1.99,2.32,2.63,5.85,0.67,4.57,3.81,4.5,2.8,2,4.12,1.73,1.58,3.35,4.99,2.76,1.64,1.62,0.36,5.23,2.49,2.99,5.72,3.17,2.2,1.22,1.28,2.27,2.33,1.41,1.93,1.34,1.25,,,
August,,,,,,5.02,1.57,2.03,2.78,1.68,5.04,2.03,8.03,1.15,1.71,1.8,2.71,5.7,1.77,2.4,0.88,3.74,2.9,1.88,2.78,2.65,1.98,4.88,1.66,1.74,3.1,4.88,3.24,0.7,1.96,1.75,0.26,0.8,3.29,1.77,0.26,2.89,3.27,1.89,2.13,2.7,6.12,0.98,6.01,0.8,,,
September,,,,,,1.29,0.68,0.52,2.04,2.94,0.71,1.65,1.23,3.35,1.14,0.86,1,2.1,6.77,1.75,2.53,1.27,2.05,1.85,4.81,3.76,0.75,4.54,0.97,1.55,3.62,2.87,4.45,2.08,2.35,3.32,3.34,1.9,1.72,0.74,1.51,0.85,1.2,3.08,2.81,1.72,3.95,0.9,2.25,1.69,,,
October,,,,,,1.19,5.03,7.83,2.08,3.22,3.98,2.26,2.72,4.12,1.99,4.54,4,2.87,1.36,2.33,3.28,1.55,0.38,4.74,3.62,2.92,2.81,2.15,4.92,4.39,2.7,0.61,4.37,4.35,1.61,3.11,1.76,3.51,2.39,2.42,3.64,2.47,2.01,2.11,3.08,3.43,0.79,0.51,2.36,5.13,,,
November,,,,,,3.05,3.2,2.81,1.31,0.99,3.85,2.56,1.64,2.75,2.7,2.07,2.7,0.97,1.86,1.14,0.89,2.1,1.2,1.46,2.44,1.49,7.17,2.67,2.41,8.17,3.27,4.79,1.67,0.68,1.88,5.11,2.77,1.72,3.07,5.13,6.76,2.29,0.96,1.64,3.81,0.1,4.37,1.89,1.09,2.54,,,
December,,,,,,0.89,2.11,2.92,2.38,3.61,5.79,6.93,3.56,0.97,5.61,4.98,2.11,0.94,2.21,3.26,2.8,1.7,3.85,1.93,3.11,3.06,0.66,2.06,2.33,5.59,3.51,1.1,1.52,0.51,5.37,3.14,2.51,2.23,3,1.86,1.6,1.36,3.66,1.63,1.48,3.98,1.8,2.23,4.24,1.88,,,
Total,,,,,,23.35,26.78,29.89,24.89,25.42,35.58,25.11,37.7,30.78,27.97,32,29.64,27.14,25.87,26.67,33.4,18.2,28.47,29.43,37.94,28.36,28.11,36.41,28.26,30.3,35.84,34.67,33.3,22.45,23.9,28.6,31.29,26.76,23.22,30.69,29.34,25.55,21.9,24.87,22.01,24.29,31.34,26.58,28.55,20.64,,,
