"HITCHAM RECTORY",,,,,,,,,,,,
Grid ref,TL978507,Long,0.887740,Lat,52.119219,,,,,,,
Station no,RR4685,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.97,3.51,1.23,0.95,0.88,,
February,,,,,,1.08,2.18,0.96,1.82,0.55,,
March,,,,,,1.71,2.09,0.91,1.83,2.39,,
April,,,,,,2.03,0.94,3.59,2.39,2.05,,
May,,,,,,0.95,1.13,3.21,1.03,1.05,,
June,,,,,,2.55,2.20,2.10,0.90,4.34,,
July,,,,,,0.53,0.50,2.07,4.33,3.36,,
August,,,,,,2.21,0.55,2.36,2.04,2.43,,
September,,,,,,1.56,1.51,0.69,1.17,1.88,,
October,,,,,,1.60,3.43,2.47,1.51,3.64,,
November,,,,,,1.75,3.68,2.34,1.47,0.96,,
December,,,,,,0.65,2.00,2.72,1.76,4.14,,
Total,,,,,,17.59,23.72,24.65,21.20,27.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,17.59,23.72,24.65,21.20,27.67,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,,
