ENNISKILLEN FLORENCE COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NV269002 ,Long,-7.730641,Lat,54.260965,Elevation,274,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6184/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,4.58,4.83,,,,,,,,3.67,,3.94,2.85,3.58,4.46,4.42,3.33,7.34,5.24,2.69,4.09,10.05,5.4,7.3,5.66,4.86,4.49,9.17,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.49,3.22,,,,,,,,1.92,,3.57,2.87,2.47,2.51,2.14,2.76,1.39,2.72,1.59,4.38,2.46,3.65,3.47,6.26,5.38,4.75,4.5,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.3,4.77,,,,,,,,1.67,,0.94,5.19,1.62,4.78,4.45,6.58,5.45,3.02,3.17,3.18,3.66,4.55,5.27,2.75,1.44,3.93,3.62,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,4.11,4.48,,,,,,,,0.28,,1.67,4.28,3.36,3.52,1.25,0.89,3.43,1.62,2.07,1.1,2.34,5.68,1.78,2.8,2.01,4.56,1.56,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.7,2.36,,,,,,,,2.44,,2.48,0.94,1.91,0.39,3.49,0.26,2.79,2.7,1.8,3.67,0.65,3.84,2.69,2.97,3.62,1.17,3.4,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.88,1.66,,,,,,,,3.09,,1.21,2.97,1.12,1.46,7.71,3.95,4.03,3.7,3.04,0.61,1.87,0.67,2.37,0.68,1.13,1.91,5.17,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.59,5.52,5.11,,,,,,,,4.22,,2.56,1.53,3.26,2.6,1.83,6.9,5.04,0.79,0.84,3.05,1.81,5.89,0.49,2.58,0.27,8.22,1.74,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,4.61,2.24,3.83,,,,,,,,2.02,,4.03,1.96,3.38,4.06,2.6,7.41,2.5,4.6,2.37,5.11,6.15,3.49,3.62,1.29,1.38,3.37,6.51,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.45,3.19,1.98,,,,,,,,2.28,,2.76,2.35,2.34,6.43,1.39,7.35,2.21,4.54,2.36,0.99,5.28,3.87,1.78,4.35,3.74,2.19,6.63,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,7.41,7.06,7.27,,,,,,,,5.78,,1.18,1.73,2.99,1.93,2.65,3.39,5.71,4.69,1.3,5.85,4.47,6.15,5.82,1.95,12.15,3.57,5.11,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.09,6.42,6.75,,,,,,,,2.46,,1.67,2.07,1.39,4.43,2.26,4.44,3.12,4.32,5.99,5.19,6.34,1.08,5.77,6.11,2.64,4.24,5.9,1.67,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
