ENNISKILLEN FLORENCE COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NV269002 ,Long,-7.730641,Lat,54.260965,Elevation,274,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6184/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,9.92,4.06,8.76,4.42,11.03,5.47,5.02,3.38,0.93,2.96,8.62,7.83,5.49,5.12,3.22,3.39,3.73,6.5,2.15,2.82,3.64,8.69,2.57,,,,,,,,,,,,,,,,,,,,,,1.59,6.02,5.65,6.75,5.69,5.89,4.49,6.04,5.29,9.89,,,,,,,,6.53,2.22,6.17,8.21,7.15,5.52,5.97,2.95,7.17,7.42,4.98,3.5,6.19,7.38,5.8,4.19,2.46,5.29,6.35,0.66,3.93,4.92,3.41,7.81,6.35,2.74,5.08,,,,,,,,,
February,,,,0.95,3.05,1.77,7.17,4.27,3.17,3.64,5.34,6.44,2.84,8.07,5.76,5.37,3.77,3.96,1.39,2.3,0.7,0.97,2.42,8.83,7.55,0.3,,,,,,,,,,,,,,,,,,,,,,1.81,6.89,1.74,3.97,,6.07,8.02,1.43,5.65,4.1,,,,,,,,0.41,5.64,2.84,6.11,2.87,4.44,4.38,3.77,1.74,3.87,1.35,4.48,3.88,1.39,3.83,4.29,6.09,4.78,2.32,1.63,4.91,4.14,2.19,3.62,4.91,1.25,5.83,,,,,,,,,
March,,,,2.02,3.18,1.89,6.35,2.16,2.2,2.43,2.84,6,4.19,2.99,5.04,3.04,6.1,0.94,2.18,1.11,2.34,1.85,0.89,1.44,3.19,6.38,,,,,,,,,,,,,,,,,,,,,,3.1,1.87,3.34,4.43,4.87,2.71,3.26,1.34,1.59,2.13,,,,,,,,3.93,1.66,3.66,2.01,2.59,3.72,5.46,3.17,3.82,1.91,0.54,2.14,2.25,7.96,3.71,2.19,3.19,3.27,3.02,0.49,5.76,0.92,2.31,4.82,2.49,4.98,3.59,,,,,,,,,
April,,,,1.12,4.22,0.67,3.65,2.7,3.63,3.24,3.52,2.85,3.09,2.3,1.45,3.3,3.88,1.41,1.89,1.05,0.54,2.56,1.11,1.13,6.18,2.46,,,,,,,,,,,,,,,,,,,,,,2.93,1.39,2.53,5.11,1.52,3.12,2.9,4.72,4.97,2.74,,,,,,,,4.46,4.19,1.66,2.44,0.22,2.36,4.79,1.65,3.04,2.25,2.75,2.16,1.33,6.55,1.57,3.87,3.83,2.3,1.39,1.8,1.43,2.73,1.17,1.31,1.09,3.73,3.01,,,,,,,,,
May,,,,1.32,1.91,3.47,0.65,2.94,5.45,2.83,1.72,2.69,2.73,2.79,3.65,2.28,3.42,1.58,3.48,3.64,1.51,2.77,7.69,3.97,3.88,0.34,,,,,,,,,,,,,,,,,,,,,,3.79,2.35,3.3,4.61,2.64,1.8,2.19,5.65,6.97,4.82,,,,,,,,4.09,1.5,2.76,3.6,4.45,1.57,1.53,1.91,5.43,3.65,3.38,4.68,1.32,6.12,2.33,2.56,0.89,2.05,1.08,1.97,4.23,4.64,1.26,1.91,4.41,2.58,1.89,,,,,,,,,
June,,,,1.39,0.77,4.16,1.96,3.97,4.26,6.71,3.61,5.76,4.27,3.37,0.64,0.51,2.11,0.29,4.48,0.9,3.09,1.59,4.44,2.43,2.86,0.66,,,,,,,,,,,,,,,,,,,,,,2.15,2.96,3.07,2.65,0.19,2.52,1.27,4.16,0.76,3.16,,,,,,,,2.45,5.55,6.66,0.92,5.48,3.43,1.69,0.84,0.3,3.56,3.4,5.51,4.07,4.42,3.87,1.54,1.27,2.83,3.11,1.47,2.51,5.35,5.34,2.08,6.03,2.62,3.92,,,,,,,,,
July,,,,4.43,1.46,1.72,1.43,3.53,1.2,5.46,5.36,2.94,6.65,4.15,2.93,3.4,3.21,4.07,6.57,2.75,3.63,1.48,2.92,2.78,3.9,3.36,,,,,,,,,,,,,,,,,,,,,,2.59,3.9,1.04,4.12,4.83,4.65,2.12,5.52,4.38,2.96,,,,,,,,2.22,1.31,6.1,4.96,5.84,4.62,3.73,2.31,3.78,2.63,4.14,2.76,4.66,3.91,3.31,2.49,8.16,2.86,1.35,5.76,5.4,1.59,7.38,4.43,4.94,3.06,6.49,,,,,,,,,
August,,,,7.2,3.35,4.06,4.99,7.12,5.85,4.78,1.56,5.13,2.96,4.11,3.92,3.66,3.43,5.01,5.24,4.94,4.48,6.78,6.86,5.81,3.58,6.35,,,,,,,,,,,,,,,,,,,,,,4.67,2.86,3.52,2.45,4.19,3.97,7.15,5.54,3.79,4.61,,,,,,,,6.52,2.72,2.27,3.21,3.04,1.06,1.03,4.08,6.26,8.07,3.69,2.35,3.42,1.46,3.54,2.14,6.25,4.72,3.52,3.74,3.69,0.72,5.31,5.67,5.05,1.42,5.28,,,,,,,,,
September,,,,3.03,6.71,7.55,6.08,3.37,4.4,6.7,2.41,2.47,2.55,4.55,2.77,7.56,4.97,4.03,1.66,4.16,3.5,4.5,4.7,2.98,0.12,,,,,,,,,,,,,,,,,,,,,,,1.63,7.73,4.98,2.71,1.51,3.6,6.1,5.83,3.12,2.58,,,,,,,,9.95,6.22,5.87,3.46,2.69,1.65,3.95,1.19,6.06,3.85,4.88,5.2,8.36,2.59,3.78,2.57,7.79,4.2,0.7,4.85,8.24,4.68,4.03,4.46,4.26,2.23,3.34,,,,,,,,,
October,,,,3.91,7.2,7.14,6.2,6.93,6.52,2.7,0.78,3.64,3.55,6.7,3.81,8.27,4.18,2.39,2.52,5.69,2.79,5.83,5.49,4.72,6.44,,,,,,,,,,,,,,,,,,,,,,,8.37,5.95,1.28,4.41,4.96,1.88,5.3,4.16,5.54,3.78,,,,,,,,7.35,5.41,3.62,0.95,8.29,3.57,6.85,4.16,3.43,6.2,7.12,4.96,2.96,3.76,3.79,6.67,4.03,1.71,6.93,3.46,6.76,3.41,4.14,3.57,2.53,5.99,3.71,,,,,,,,,
