CLEUGHFOOTS,,,,,,,,,,
Grid ref,NY140858,Long,-3.351298,Lat,55.159024,Elevation,370,ft,,
Station no,RR8217,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,4.35,3.5,
February,,,,,,,4.32,4.2,4.2,
March,,,,,,,3.55,4,4.1,
April,,,,,,,2.4,3.8,4.5,
May,,,,,,3.5,2.3,3,3.3,
June,,,,,,0.3,2.5,0.3,1.2,
July,,,,,,3.5,2.32,3.5,1,
August,,,,,,4.55,3.2,3.2,4.1,
September,,,,,,1.5,4.5,5.2,2.5,
October,,,,,,3.75,2.95,3.2,4.2,
November,,,,,,3.75,3.55,1.2,3.4,
December,,,,,,3.8,3,3.25,7.4,
Total,,,,,,,,39.2,43.4,
