STOURMOUTH RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR255628,Long,1.235,Lat,51.3203,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,0.59,0.61,0.82,0.48,0.49,0.44,0.49,0.3,,,,,,,0.38,,0.28,0.76,0.23,0.35,0.36,,,,,3.1,1.67,1.02,3.29,3.97,2.16,1.15,3.24,0.81,4.09,1.54,1.55,0.12,1.88,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.93,0.49,0.27,0.64,0.58,1.1,1.15,0.31,,,,,,,0.35,,0.48,0.22,0.16,0.1,0.93,,,,,1.16,2.96,0.47,1.43,0.51,1.58,0.77,0.68,2.34,1.22,1,3.19,1.77,1.61,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.6,1.83,0.39,0.78,0.22,1.24,0.23,0.01,,,,,,,0.93,,0.57,0.58,0.33,1.67,0.48,,,,,0.99,2.7,1.38,1.44,2.06,1.29,0.78,0.37,1.46,2.7,1.74,1.21,0.08,1.35,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.41,0.84,0.62,1.2,0.27,2.33,1.7,0.65,,,,,,,1.86,,0.53,0.22,0.25,1.38,0.4,,,,,2.3,1.76,0.3,2.24,1.46,1.37,2.01,1.12,1.35,2.63,2.16,2.64,1.46,0.94,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.54,0.86,1.32,0.33,0.44,0.01,1.85,1.09,,,,,,,0.71,0.5,0.65,0.25,0.52,1.27,0.43,,,,,0.81,3.65,1.43,1.41,3.19,0.91,0.67,1.26,1.47,2.13,3.99,1.99,0.47,1.05,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.39,0.94,0.66,1.09,0.28,1.37,0.34,1.19,,,,,,,0.36,0.7,0.71,0.95,1.46,0.74,1.03,,,,,0.59,0.72,1.02,2.12,1.34,2.24,1.54,1.46,1.67,2.4,0.83,2.61,3.88,2.75,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.11,0.91,1.46,1,0.07,0.77,0.59,2.12,,,,,,,2.3,1.94,0.98,3.03,0.93,0.64,0.08,,,,,0.77,0.22,2.4,1.78,2.92,1.36,0.66,4.58,0.65,1.4,0.6,2.68,2.55,1,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,0.15,1.19,1.27,1.09,2.72,1.47,0.79,0.74,,,,,,,1.02,1.9,1.24,2.5,1.12,0.85,2.09,,,,,2,1.32,1.2,0.84,2.31,1.53,1.1,1.57,1.87,1.83,3.85,3.46,1.14,1.89,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.4,2.13,0.73,1.43,0.38,1.65,2.69,1.74,,,,,,,,0.39,2.39,2.27,3.75,1.51,1.44,,,,,1.64,3.64,2.11,3.58,1.37,1.7,2.89,2.2,2.39,1.48,1.02,2.21,3.03,2.72,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.25,1.38,2.2,1.4,1.75,0.64,5.35,3.46,1.05,,,,,,,,1.3,2.42,0.97,0.19,2.02,1.51,,,,1.4,1.89,2.46,4.14,1.41,4.12,3.94,3.14,3.33,1.27,1.88,3.26,0.97,9.14,5.43,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
