"BAGSHOT",,,,,,,,,,,,
Grid ref,SU907626,Long,-0.698846,Lat,51.355244,,,,,,,
Station no,237,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.76,2.20,1.00,1.03,2.92,4.12,1.80,2.81,2.57,2.83,,
February,5.94,0.84,1.23,2.79,1.49,0.19,3.17,2.65,0.19,2.54,,
March,3.97,2.66,0.43,2.07,0.87,0.71,1.28,2.23,2.18,1.45,,
April,2.92,1.31,2.52,0.26,0.24,1.29,0.30,0.33,2.04,0.66,,
May,2.72,2.24,1.79,3.50,3.67,0.24,1.03,1.96,0.61,1.50,,
June,1.33,1.84,1.34,4.24,2.61,1.92,0.92,3.32,0.93,1.34,,
July,1.61,0.49,3.31,2.73,0.96,3.49,3.02,1.05,3.27,2.68,,
August,4.54,2.99,2.05,3.19,1.19,3.98,2.36,4.54,1.58,3.09,,
September,3.13,4.08,2.00,2.55,1.75,3.18,3.15,2.74,0.10,3.28,,
October,0.52,3.12,2.57,2.22,3.88,3.46,1.87,3.89,2.63,7.52,,
November,6.94,3.08,1.43,4.52,2.00,0.58,2.87,2.59,4.57,4.26,,
December,2.08,2.69,0.53,2.17,2.44,3.44,2.44,2.98,4.12,3.35,,
Total,39.46,27.54,20.20,31.27,24.02,26.60,24.21,31.09,24.79,34.50,,
Calc annual,39.46,27.54,20.20,31.27,24.02,26.60,24.21,31.09,24.79,34.50,,
Difference,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
