"LAKE VYRNWY, CARREG-COCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH979237,Long,-3.516,Lat,52.801,Elevation,1750,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83,5.3,7.51,13.19,8.75,4.47,10.41,2.88,6.4,5.56,10.26,4.05,6.79,10,10,9.56,9.21,3.8,7.68,7.91,11.9,12.55,8.01,7.14,7.24,9.93,9.23,8.45,15.08,2.7,11.4,6.97,11.43,6.18,8.95,2.63,9.54,8.73,12.75,13.5,3.39,,9.15,13.4,11.21,8.06,11.73,8.3,18.66,5.5,6.48,,10.6,,6.85,5.6,10.4,11.95,7.37,8.65,10.37
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,3.83,2.85,10.11,8.66,4.41,7.37,4.74,5.3,2.63,10.56,8.95,6.54,5.8,9.83,11.48,9.65,1.81,9.72,4.97,8.26,1.27,10.39,14.29,2.17,12.5,7.71,5.31,10.88,1.12,1.55,7.35,0.23,7.78,0.49,11.41,2.94,11.39,3.3,7.61,6.26,8.35,2.29,5.41,4.62,11.4,12.11,3.11,7.39,4.67,14.4,,2.8,,6.8,3.85,1.7,7.25,,0.95,9.39
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,8.04,4.41,14.63,3.38,9.83,9.19,5.23,7.5,6.28,3.68,4.21,11.9,11.83,8.63,3.7,7.02,4.77,3.94,9.9,8.84,9,6.11,4.67,3.17,3.16,3.12,6.66,5.61,1.05,4.98,2.24,4.57,4.65,6.78,2.09,6.47,4.6,2.39,5.07,5.85,4.74,4.74,2.32,1.29,3.48,3.46,13.11,5.39,3.17,5.05,8.15,4.48,,6.8,4.05,,7.55,2.45,5.01,3.1
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,6.07,3.02,2.86,6.62,4.72,2.4,4.46,5.62,6.55,6.86,5.31,1.31,9.14,4.24,3.65,6.48,3.65,2.73,5.44,12.02,3.22,4.85,5.82,5.38,3.83,3.4,4.28,3.12,1.81,5.79,5.38,7.42,2.78,4.46,7.78,3.24,4.61,0.44,3.66,5.72,2.19,5.07,3.19,2.55,4.58,1.63,7.19,3.76,8.86,7.03,5.8,3.98,,1.55,3.6,1.6,0.65,2.2,6.9,4.85
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1.79,6.64,6.08,4.21,3.84,7.01,5.03,5.66,3.06,3.4,3.04,2.5,5.28,5.42,4.18,4.9,4.29,4.54,2.46,7.8,3.7,2.57,5.89,8.83,6.32,4.7,3.17,2.15,3.58,4.67,7.33,5.24,1.65,4.22,1.63,2.04,2.26,5.07,1.9,2.35,4.74,7.01,7.06,4.09,5.62,2.81,4.25,3.7,6.8,2.32,3.95,3.72,,6.47,9.45,2.15,3.15,7.95,1.95,2.4
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,3.88,5.21,1.42,3.65,4.45,3.19,9.41,4.93,4.24,5.03,4.91,7.47,6.2,3.53,1.61,4.57,3.93,2.7,3.52,4.51,0.84,3.58,2.92,4.14,0.56,3.47,7.3,7.76,3.3,3.52,5.79,2.3,3.6,2.84,6.5,6.83,3.53,7.02,4.54,1.63,0.96,0.59,7.35,5.52,7.39,6.6,3.92,9.04,2.39,3,2.05,3.95,,5.85,6.55,2.9,2.01,4.87,3.35,3.28
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,4.03,3.77,5.43,3.65,3.29,2.3,5.33,6.56,5.28,5.72,1.66,7.83,1.4,6,6.44,3.49,3.31,6.77,2.15,10.46,3.91,7.58,4.54,7.2,1.74,6.81,4.92,2.99,3.95,6.76,4.47,6.59,4.74,0.88,2.42,8.38,3.1,6.44,11.24,4.93,2.41,5.07,5.07,4.13,2.74,3.37,4.31,3.94,2.29,7.95,2.7,2.47,,6.3,1.43,7.12,10.6,5.8,6.9,7.14
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.55,5.79,5.44,11.1,6.87,8.22,7.24,6.55,5.16,3.62,8.55,5.72,9.01,3.39,5.18,5.64,5.08,11.38,3.52,5.9,4.17,6.45,5.1,8.94,7.57,4.44,6.13,11.1,6.81,6.12,7.35,7.12,2.19,1.95,6.04,2.26,2.32,1.89,5.92,3.66,1.39,7.63,6.65,7.68,3.37,5.42,9.51,0.82,8.6,4.54,10.6,7.6,5.8,,6.18,2,8.65,8.9,5.02,1.62,6.3
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,3.76,2.98,9.51,2.88,4.05,2.15,1.69,7.48,5.54,1.15,6.08,2.41,4.08,3.8,2.68,3.98,3.82,14.44,4.64,4.14,3.19,5.53,7,6.91,5.92,4.09,7.09,2.42,3.27,8.4,4.05,6.25,1.47,5.56,10.64,6.6,2.39,2.78,1.31,5.31,1.8,5.23,7.32,7.85,5.39,9.93,3.82,6.41,2.48,13.55,6.73,4.35,,9.95,2.8,5.95,10.75,11.95,0.56,6.87
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98,5.84,6.61,19.77,5.34,5.94,10.16,9.57,3.5,11.99,6.43,7.17,8.42,6.28,3.29,4.08,15.16,10.93,7.71,4.63,3.85,4.72,2.75,14.22,8.66,8.4,6.05,9.74,10.41,7.86,10.56,2.58,10.48,7.06,8.01,12.97,6.01,4.02,15.52,3.86,8.82,7.81,6.08,7.06,10.33,8.37,2.54,1.83,5.05,11.75,6.5,2.6,12.6,,15.8,4.3,4.75,8.2,6.14,9.13,9.18
