STELLING MINNIS (LEIGH BARTON),,,,,,,,,,,,
Grid ref,TR132469,Long,1.049110,Lat,51.181560,,,,,,,
Station no,280/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.35,,
February,,,,,,,,,,2.47,,
March,,,,,,,,,,2.89,,
April,,,,,,,,,,1.03,,
May,,,,,,,,,0.87,1.67,,
June,,,,,,,,,1.87,1.88,,
July,,,,,,,,,2.04,3.02,,
August,,,,,,,,,2.10,4.93,,
September,,,,,,,,,0.80,2.89,,
October,,,,,,,,,3.86,6.22,,
November,,,,,,,,,5.73,7.00,,
December,,,,,,,,,9.78,6.42,,
Total,,,,,,,,,,44.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.05,44.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
