"DUNCANSBY HEAD",,,,,,,,,,,,
Grid ref,ND406734,Long,-3.025080,Lat,58.644385,,,,,,,
Station no,5815,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.18,2.42,2.37,2.09,0.91,,,,,,,
February,1.62,1.50,1.55,2.39,1.81,,,,,,,
March,2.91,0.70,0.60,2.44,0.96,,,,,,,
April,1.85,0.43,0.63,0.94,1.37,,,,,,,
May,0.17,0.51,1.95,2.62,1.67,,,,,,,
June,0.92,1.59,0.97,3.01,0.66,,,,,,,
July,1.18,0.47,1.30,1.80,0.13,,,,,,,
August,1.56,1.32,1.11,4.83,0.57,,,,,,,
September,1.39,2.41,1.56,3.45,2.70,,,,,,,
October,0.80,2.61,2.55,5.76,2.73,,,,,,,
November,4.86,2.80,3.52,5.81,1.67,,,,,,,
December,1.54,2.44,2.04,3.80,3.20,,,,,,,
Total,19.98,19.20,20.15,38.94,18.38,,,,,,,
Calc annual,19.98,19.20,20.15,38.94,18.38,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
