"GLEN FINLAS RESERVOIR NO 2",,,,,,,,,,,,
Grid ref,NS330895,Long,-4.684323,Lat,56.069089,,,,,,,
Station no,5328,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.75,8.36,5.90,9.16,4.50,6.63,12.77,8.00,3.56,5.39,,
February,4.75,3.65,6.34,6.39,3.82,2.45,4.61,4.08,4.21,6.85,,
March,5.78,7.11,3.06,5.20,1.72,5.53,11.78,2.22,6.75,4.13,,
April,5.25,3.72,3.56,4.87,6.76,2.84,4.02,3.64,6.07,8.78,,
May,2.61,2.18,4.47,5.52,5.97,6.09,4.60,6.79,2.24,4.68,,
June,2.86,5.60,2.51,7.10,5.85,4.66,4.06,3.92,4.23,5.47,,
July,6.24,5.32,11.80,6.29,1.62,8.44,9.26,7.21,10.48,8.69,,
August,8.95,8.02,7.69,9.62,1.85,8.87,7.22,10.20,3.89,3.91,,
September,6.53,5.70,11.16,12.42,10.35,8.45,6.32,6.72,3.16,4.96,,
October,3.61,7.38,6.56,16.29,7.82,7.02,11.37,7.54,8.13,4.95,,
November,10.80,3.94,15.50,10.75,4.86,4.02,3.50,4.38,8.47,8.62,,
December,14.80,9.80,9.33,13.04,14.10,11.43,11.29,7.78,13.81,11.18,,
Total,80.93,70.78,87.88,106.65,69.22,76.43,90.80,72.48,75.00,77.61,,
Calc annual,80.93,70.78,87.88,106.65,69.22,76.43,90.80,72.48,75.00,77.61,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
