"SHIRA MAIN DAM",,,,,,,,,,,,
Grid ref,NN161203,Long,-4.976769,Lat,56.339239,,,,,,,
Station no,5428/6/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,8.08,9.03,5.48,7.15,14.60,10.47,3.80,5.65,,
February,,,7.18,8.44,3.41,4.04,5.02,5.34,5.81,7.44,,
March,,,3.34,6.25,2.75,5.21,9.97,2.06,7.88,2.98,,
April,,,6.23,4.36,7.44,3.99,5.14,4.51,7.05,8.60,,
May,,,4.47,6.19,5.42,7.85,3.35,8.90,3.04,5.26,,
June,,,1.72,6.54,6.13,6.68,5.77,3.07,5.58,5.59,,
July,,,11.91,7.76,1.18,7.53,8.45,4.41,9.86,7.41,,
August,,,8.70,7.58,3.54,7.07,8.75,8.56,4.98,5.95,,
September,,,11.69,12.69,9.98,7.28,6.46,6.53,3.88,5.09,,
October,,,6.81,14.76,9.20,7.52,13.61,10.85,10.42,4.64,,
November,,,14.61,15.55,5.12,6.53,4.43,3.76,13.13,10.41,,
December,,,10.53,16.53,13.95,15.65,13.72,8.79,17.64,12.30,,
Total,,,95.27,115.68,73.60,86.50,99.27,77.25,93.07,81.32,,
Calc annual,0.00,0.00,95.27,115.68,73.60,86.50,99.27,77.25,93.07,81.32,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
