CHUDLEIGH-TRUSHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX856822,Long,-3.6179,Lat,50.6288,Elevation,322,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,3.17,5.48,3.26,1.5,0.81,5.69,3.21,2.15,3.51,5.12,5.99,0.75,3.51,0.87,6.8,5.51,3.29,1.42,4.19,5.52,1.42,6.3,1.34,1.05,1.5,3.72,0.97,4.02,7.67,0.68,3.38,1.43,1.01,4.29,
February,,,,,,5.69,1.73,0.76,0.63,1.89,1.63,0.05,3.32,5.82,1.5,0.05,0.4,3.98,2.27,6.26,7.44,1.43,2.48,2.81,6.95,1.14,3.76,1.31,1.76,0.52,5.27,1.31,4.16,1.58,5.02,6.74,7.22,0.71,,
March,,,,,,1.39,4.36,1.78,6,4.3,1.99,3.38,1.13,0.12,2.36,3.05,3.36,5.59,3.07,0.69,1.95,5.1,2.15,4.41,3.14,5.41,1.07,0.81,3.58,7.54,0.91,3.51,5.48,4.28,5.82,0.6,3.69,4.33,1.36,
April,,,,,,4.88,2.27,1,2.65,1.61,3.95,2.78,1.34,0.45,3.27,2.9,0.35,3.95,2.05,2.78,1.54,4.12,2.07,2.64,1.19,3.01,1.29,5.64,1.91,2.49,3.01,1.44,0.06,4.83,1.68,0.94,0.78,1.32,,
May,,,,,,2.45,3.91,1.42,2.62,2.28,2.31,3.28,1.13,1.94,1.89,0.66,0.03,1.74,3.94,2.55,2.52,1.26,1.66,2.36,2.35,0.91,1.91,3.87,1.86,1.31,2.51,1.29,1.49,3.19,2.34,1.78,2.01,2.31,,
June,,,,,,1.59,0.65,0.08,2.72,1.74,2.84,2.83,1.38,0.89,1.99,1.43,3.16,3.05,1.74,1.38,2.79,1.8,2.58,2.96,1.27,3.39,1.79,2.38,0.72,4.88,2.2,3.12,4.55,0.46,1.59,1.86,1.55,2.86,,
July,,,,,,0.49,2.99,1.61,7.5,3.79,3.19,2.88,2.08,4.27,4.77,3.99,1.81,2.27,1.54,3.14,1.04,1.62,2.26,3.83,5.59,0.53,0.83,0.93,1.36,2.27,2.72,0.62,2.38,0.33,4.03,3,1.02,2.03,,
August,,,,,,1.74,2.16,1.6,3.21,3.1,2.64,6.17,3.93,1.84,3.58,2.33,2.42,5.64,2.28,3.22,2.08,1.39,3.02,4.03,2.75,2.82,2.36,0.79,4.24,1.44,4.37,1.79,6.87,0.56,2.36,1.9,5.05,5.28,,
September,,,,,,4.31,2.37,2.74,1.05,1.93,1.16,2.13,1.56,1.6,3.44,0.6,5.76,3.14,1.08,2.34,1.14,3.97,2.73,3.83,2.41,1.7,0.74,0.51,2.63,2.7,0.51,1.92,1.51,1.68,2.64,1.08,2.23,1.48,,
October,,,,,,6.7,7.58,4.56,1.83,5.45,1.31,9.72,5.59,2.68,5.5,4.64,3.25,1.41,7.64,3.81,2.31,1.76,2.87,8.22,2.37,2,6.39,8.95,2.35,6.48,6.26,4.58,4.95,4.42,3.5,5.54,6.07,4.37,,
November,,,,,,4.27,3.25,5.3,11.12,1.81,3.85,5.23,3.14,1.66,7.94,9.06,1.28,1.91,4.07,2.65,4.1,1.13,5.11,1.92,1.91,5.04,3.39,4.23,0.95,0.78,5.25,4.21,1.71,4.05,5.4,2.47,5.76,1.74,,
December,,,,,,2.17,6.43,3.4,4.79,2.56,4.45,4.76,1.11,4.67,2.09,6.2,8.1,7.32,4.28,4.94,6.21,7.37,2.98,5.62,3.36,1.12,1.62,6.93,3.84,4.42,8.75,11.17,4.49,2.77,9.99,9.78,3.73,1.28,,
Total,,,,,,38.85,43.18,27.51,45.62,31.27,35.01,46.42,27.86,29.45,43.45,40.9,30.67,43.51,34.83,40.56,38.63,34.24,31.33,46.82,38.81,28.49,31.45,37.69,26.25,36.33,45.48,35.93,41.67,35.82,45.05,39.07,40.54,28.72,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at the Rectory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
