EAKRING-BP-DEPOT,,,,,,,,,,
Grid ref,SK673614,Long,-0.995258,Lat,53.145503,Elevation,281,ft,,
Station no,2623/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.39
February,,,,,,,,,,2.25
March,,,,,,,,,,1.54
April,,,,,,,,,,0.91
May,,,,,,,,,,1.34
June,,,,,,,,,,1.26
July,,,,,,,,,,3.25
August,,,,,,,,,0.51,3.39
September,,,,,,,,,1.05,3.55
October,,,,,,,,,1.97,5.24
November,,,,,,,,,2.35,3.36
December,,,,,,,,,3.6,2.92
Total,,,,,,,,,,33.4
