TEIGNMOUTH-BENTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX935736,Long,-3.5045,Lat,50.5533,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.05,0.84,1.38,2.94,0.87,4.2,6.48,0.61,2.57,0.97,1.01,3.35,5.2,4.62,,,,,,,,,,
February,,,,,,,,1.13,1.35,0.43,4.54,1.05,3.44,0.87,3.33,5.33,5.74,0.91,0.97,4.94,0.64,,,,,,,,,,
March,,,,,,,,0.46,2.79,5.42,0.59,2.75,4.44,3.63,4.71,0.76,4.21,3.58,1.17,4,3.73,,,,,,,,,,
April,,,,,,,,4.6,2.19,1.88,2.03,1.19,0.05,3.24,1.05,0.81,0.29,0.9,2.13,1.6,3.45,,,,,,,,,,
May,,,,,,,,3.04,1.3,1.03,1.83,0.87,1.29,3.11,1.43,2.94,1.73,1.95,1.23,1.1,1.34,,,,,,,,,,
June,,,,,,,,1.7,0.71,4.15,1.67,2.34,3.86,0.27,1.08,2.09,2.25,2.26,0.75,0.9,1.46,,,,,,,,,,
July,,,,,,,0.73,2.02,1.1,2.11,2.65,0.73,2.98,0.46,3.39,3.81,0.74,1.79,4.17,1.39,3.51,,,,,,,,,,
August,,,,,,,1.07,0.52,3.4,1.92,3.45,0.67,5.64,0.58,1.98,1.81,4.66,4.81,2.07,2.99,1.03,,,,,,,,,,
September,,,,,,,0.7,0.54,2.49,1.5,0.24,1.51,1.09,2.1,2.42,1.32,2.73,1.34,5.51,1.98,1.32,,,,,,,,,,
October,,,,,,,4.87,7.27,2.57,5.11,4.69,3.75,4.04,4.4,2.5,5.13,5.2,3.3,1.84,1.33,2.51,,,,,,,,,,
November,,,,,,,3.12,3.56,0.85,0.6,4.73,3.88,1.64,2.98,4.01,2.54,4.2,1.46,2.8,3.42,1.77,,,,,,,,,,
December,,,,,,,1.31,4.72,2.99,5.29,6.78,8,3.88,2.09,7.74,8.18,3.84,1.2,3.38,4.81,4.66,,,,,,,,,,
Total,,,,,,,,30.61,22.58,30.82,36.14,27.61,36.55,30.21,34.25,37.29,36.56,24.51,29.37,33.66,30.04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location of Benton unknown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It was near Westridge and Marsland, which would put it about 320ft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This NGR fits fairly accurately with The Hill being 3055ft ENE as given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Oct 1st Gauge moved 3055ft ENE to The Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
